title,description,photographer,date original,date is approximate?,subject,latitude,longitude,source,holding institution,format original,type,format digital,digital publisher,identifier,digital identifier,rights,rightsstatement,date digital,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,,objectid
Measuring water levels in a mine,An individual measuring water levels in a mine.,,1985,y,mining; research; research; water; data; measuring; rulers (measuring devices); protective wear; hard hats; head lamps,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-474,PG52-474.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/0,0,37.jp2,/p17254coll3/image/37.jp2,,argonautphotos0
Sheri Lehmer,Sheri Lehmer,,1985,y,sports; basketball; athletes; jerseys; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-160,PG52-160.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/1,1,131.jp2,/p17254coll3/image/131.jp2,,argonautphotos1
Bob Bain,"Bob Bain, Communications.",Bob Bain,1983,y,portraits; students,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-562,PG52-562.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/2,2,19.jp2,/p17254coll3/image/19.jp2,,argonautphotos2
Kristen Browitt,Vandals Women's Basketball player Kristen Browitt (21),Scott Spiker,1985,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-143,PG52-143.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/3,3,503.jp2,/p17254coll3/image/503.jp2,,argonautphotos3
Students rise for the National Anthem,Students rise for national anthem at a basketball game.,Henry Moore,1985,y,basketball; sports; ceremonies; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-035,PG52-035.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/4,4,487.jp2,/p17254coll3/image/487.jp2,,argonautphotos4
Biology Lab Students [02],Two biology lab students. One student examines something through a microscope. The other fills up test tubes.,,1983,y,students; biology; equipment; science; microscope; test-tubes; laboratories; classrooms; universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-268,PG52-268.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/5,5,510.jp2,/p17254coll3/image/510.jp2,,argonautphotos5
Laura Burns,Laura Burns,,1985,y,sports; volleyball; athletes; competitions; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-616,PG52-616.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/6,6,382.jp2,/p17254coll3/image/382.jp2,,argonautphotos6
Tennis match [15],A student playing tennis on the courts just outside of the Physical Education Building.,,1985,y,tennis; sports; athletes; campus; students,46.725702,-117.014894,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-656o,PG52-656o.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/7,7,198.jp2,/p17254coll3/image/198.jp2,,argonautphotos7
Prichard Art Gallery opening day,Art enthusiasts gathering to look at various creations during the opening of the Prichard Art Gallery in Downtown Moscow.,,1985,,art galleries; museums; sculptures; artists,46.731187,-117.001201,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-516,PG52-516.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/8,8,525.jp2,/p17254coll3/image/525.jp2,,argonautphotos8
Idaho Football Players [03],Idaho football player running the ball.,Bob Bain,1985,y,sports; American football (sports); universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-353,PG52-353.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/9,9,156.jp2,/p17254coll3/image/156.jp2,,argonautphotos9
Flying a kite at Wicks Field,"Sean Burgess flying a kite at Guy Wicks Field. Caption: """"[Wicks Field / Sunday] Sean Burgess 12 yr / father, Barry Burgess 5th Arch.""""",,1983,y,parks; kites; recreation; outdoors,46.731909,-117.019222,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-663,PG52-663.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/10,10,676.jp2,/p17254coll3/image/676.jp2,,argonautphotos10
Raymond Miller,"Raymond Miller, Dean of Agriculture, sitting with an odd facial expression.",,1985,y,deans (educators); agriculture,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-322,PG52-322.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/11,11,491.jp2,/p17254coll3/image/491.jp2,,argonautphotos11
University of Idaho Kibbie Dome Annex [05],Kibbie Dome annex under construction.,,1982,,universities (institution); stadiums; annexes (building divisions),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-430,PG52-430.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/12,12,441.jp2,/p17254coll3/image/441.jp2,,argonautphotos12
