file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,standardized-rights,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid
,Camp Deep Creek,United States Forest Service,Birds-eye view of tents and buildings at Camp Deep Creek.,1934,y,F-45,C-952,tents (portable buildings); forests (plant communities); barracks; aerial photographs; aerial views,Bitterroot National Forest,"Deep Creek, Idaho County, Idaho; darby, montana; Bitterroot National Forest",45.7204,-114.5121,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_001,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/0,0,1.jpg,/cccidaho/image/1.jpg,cccidaho0
,Camp Band,,"Six young men play instruments (saxophone, drums, piano, trumpet) as the Camp Heyburn State Park band.",1935,y,SP-1,C-1995,recreation; entertaining; bands (ensembles),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_001,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/1,1,10.jpg,/cccidaho/image/10.jpg,cccidaho1
,Camp Heyburn,,A view of Camp Heyburn trees and buildings.,1935,y,SP-1,C-1995,barracks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_002,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/2,2,11.jpg,/cccidaho/image/11.jpg,cccidaho2
,Carpentry Class,,CCC men participating in a carpentry class.,1935,y,SP-1,C-1995,group portraits; skilled workers; carpentry (process); adult education,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_003,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/3,3,12.jpg,/cccidaho/image/12.jpg,cccidaho3
,CCC Carnival Boxing Match,"Swan, K.D.","A boxing match at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports,"U.S. Forest Service, Region 4","McCall, Idaho",44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_002,Image;StillImage,"United States Forest Service, Region 5",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/4,4,13.jpg,/cccidaho/image/13.jpg,cccidaho4
,Man in Corner of Boxing Match during CCC Carnival,"Swan, K.D.","A boxing entrant in his corner, being medically examined while a man announces with a megaphone in the background at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports; examination (function); megaphones,"U.S. Forest Service, Region 4","McCall, Idaho",44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_003,Image;StillImage,"United States Forest Service, Region 6",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/5,5,14.jpg,/cccidaho/image/14.jpg,cccidaho5
,Young Men Diving into Lake during CCC Carnival,"Swan, K.D.","Young men dive into the lake from the pier during the swimming race at the CCC Carnival in McCall, Idaho. Observers in the background point to something across the lake.",1933,,,,recreation; entertaining; swimming; sports; races (events),"U.S. Forest Service, Region 4","McCall, Idaho",44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_004,Image;StillImage,"United States Forest Service, Region 7",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/6,6,15.jpg,/cccidaho/image/15.jpg,cccidaho6
,Manning Bridge,"Bailey, Reed W.","Manning Crevice Suspension Bridge, built on the Salmon River Road Project by CCC men.",1935,,,,bridges (built works); rivers; gorges (landform); suspension bridges,"U.S. Forest Service, Region 4",Salmon National Forest,45.4016,-116.1169,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_005,Image;StillImage,"United States Forest Service, Region 8",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/7,7,16.jpg,/cccidaho/image/16.jpg,cccidaho7
,Camp Redfish Lake,"Swan, K.D.","View of Redfish Lake CCC Camp and Redfish Lake, Idaho.",1933,,,,forests (plant communities); barracks; rivers; valleys (landforms); lakes (bodies of water),"U.S. Forest Service, Region 4",Sawtooth National Forest; Redfish Lake,44.1464,-114.9159,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_006,Image;StillImage,"United States Forest Service, Region 9",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/8,8,17.jpg,/cccidaho/image/17.jpg,cccidaho8
,Boxing Match during CCC Carnival,"Swan, K.D.","A boxing match at the CCC Carnival in McCall, Idaho. 'Boxing wound up the day's sports at the CCC Carnival in McCall, Idaho - 3 camps competing.'",1933,,,,recreation; entertaining; boxing; sports,"U.S. Forest Service, Region 4","McCall, Idaho; Payette Lake",44.9113,-116.1135,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_001,Image;StillImage,"United States Forest Service, Region 4",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/9,9,18.jpg,/cccidaho/image/18.jpg,cccidaho9
,Camp Redfish Lake,"Swan, K.D.","View of Redfish Lake CCC Camp and Redfish Lake, Idaho. Sawtooth Mountains loom in the background.",1933,,,,barracks; tent structures; mountains,"U.S. Forest Service, Region 4",Sawtooth National Forest; Redfish Lake,44.1464,-114.9159,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_007,Image;StillImage,"United States Forest Service, Region 10",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/10,10,19.jpg,/cccidaho/image/19.jpg,cccidaho10
,Camp Deep Creek,United States Forest Service,View of rows of tents surrounded by trees at Camp Deep Creek.,1934,y,F-45,C-952,tents (portable buildings); barracks,Bitterroot National Forest,"Deep Creek, Idaho; darby, montana; Bitterroot National Forest",45.7204,-114.5121,newspaper clipping,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_002,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/11,11,2.jpg,/cccidaho/image/2.jpg,cccidaho11
,Campground Construction,"Fair, P.J.","Three men build campground tables at Camp Ketchum, Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Ketchum, Idaho",43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_008,Image;StillImage,"United States Forest Service, Region 11",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/12,12,20.jpg,/cccidaho/image/20.jpg,cccidaho12
,Campground Construction,"Fair, P.J.","Three men installing campground stoves at Wood River Campground, Camp Ketchum, in the Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); stoves (heating equipment); unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Wood River, Idaho",43.7944,-114.4567,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_010,Image;StillImage,"United States Forest Service, Region 13",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/13,13,21.jpg,/cccidaho/image/21.jpg,cccidaho13
,Campground Construction,"Fair, P.J.","CCC men building campground tables and toilets at Camp Ketchum, in the Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); outhouses; picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Sawtooth National Forest,43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_011,Image;StillImage,"United States Forest Service, Region 14",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/14,14,22.jpg,/cccidaho/image/22.jpg,cccidaho14
,Campground Construction,,"CCC men constructing camp tables at Camp Benedict, Sawtooth National Forest, Idaho. Sawtooth Mountains loom in the background.",1934,,,,campgrounds; national forests; construction (assembling); picnic tables; picnic benches; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Sawtooth National Forest,43.6825,-114.3666,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_012,Image;StillImage,"United States Forest Service, Region 15",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/15,15,23.jpg,/cccidaho/image/23.jpg,cccidaho15
,Roadside Cleanup,"Bieler, Paul S.","Roadside cleanup by CCC men from Camp F-78, near Pine, Idaho in the Boise National Forest. The caption reads 'Tree cutters sharpening tools in Blue Point Creek.'",1939,,F-78,C-254,roads; national forests; saw blades; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Boise National Forest,43.488,-115.314,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_013,Image;StillImage,"United States Forest Service, Region 16",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/16,16,24.jpg,/cccidaho/image/24.jpg,cccidaho16
,Roadside Cleanup,"Swan, K.D.","Roadside cleanup on road to Brundage Lookout, Payette National Forest, Idaho. Material piled and ready to burn. Cleanup by boys from State CCC Camp at McCall, Idaho.",1933,,,,roads; national forests,"U.S. Forest Service, Region 4",Payette National Forest,45.0054,-116.156,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_014,Image;StillImage,"United States Forest Service, Region 17",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/17,17,25.jpg,/cccidaho/image/25.jpg,cccidaho17
,Campground Construction,"Fair, P.J.","CCC men installing campground stoves at Wood River Campground, from Camp Ketchum, Sawtooth National Forest, Idaho.",1933,,F-81,C-971,campgrounds; national forests; construction (assembling); stoves (heating equipment); unskilled workers; group portraits,"U.S. Forest Service, Region 4","Sawtooth National Forest; Wood River, Idaho",43.7944,-114.4567,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_009,Image;StillImage,"United States Forest Service, Region 12",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/18,18,26.jpg,/cccidaho/image/26.jpg,cccidaho18
,Roadside Cleanup,"Fair, P.J.","Roadside cleanup by CCC men from F-94, in Targhee National Forest near Osborne Springs and Ashton, Idaho.",1933,,F-94,C-1972,roads; national forests; unskilled workers; group portraits,"U.S. Forest Service, Region 4",Targhee National Forest,44.3097,-111.4084,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,USFSRegion4_015,Image;StillImage,"United States Forest Service, Region 18",eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/19,19,27.jpg,/cccidaho/image/27.jpg,cccidaho19
,Camp Heyburn Headquarters,,"Exterior view of headquarters building at Camp Heyburn. The sign above the door says 'Camp Heyburn SP-1, Company 1955 CCC'. The sign to the left beneath it says 'Office' and the other says 'Supply'.",1935,y,SP-1,C-1995,offices (administrative entities),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_004,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/20,20,28.jpg,/cccidaho/image/28.jpg,cccidaho20
,Lake Chatcolet Sign,,A man stands in front of a sign advertising for Lake Chatcolet. The sign reads 'Chatcolet Picnicking Swimming Camping Caretak.' The man is standing in front of the last word which may be assumed to be 'Caretaking.',1935,y,SP-1,C-1995,portraits; direction signs; state parks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_005,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/21,21,29.jpg,/cccidaho/image/29.jpg,cccidaho21
,Camp Deep Creek,United States Forest Service,View of tent camp surrounded by trees. Flagpole in the center and an automobile is parked by one of the tents.,1934,y,F-45,C-952,tents (portable buildings); forests (plant communities); automobiles; barracks; flagpoles; fog,Bitterroot National Forest,"Deep Creek, Idaho; darby, montana; Bitterroot National Forest",45.7204,-114.5121,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_003,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/22,22,3.jpg,/cccidaho/image/3.jpg,cccidaho22
,Heyburn State Park Entrance Sign,,The front view of the Heyburn State Park entrance sign. The sign reads: 'Entering Heyburn State Park'.,1935,,SP-1,C-1995,identification signs; state parks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_006,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/23,23,30.jpg,/cccidaho/image/30.jpg,cccidaho23
,Indian Cliffs Trail Sign,,"CCC men who had built a the trail, hold the sign for Indian Cliffs. The sign reads 'Indian Cliffs.'",1935,y,SP-1,C-1995,group portraits; direction signs; state parks; trails (recreation areas),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_007,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/24,24,31.jpg,/cccidaho/image/31.jpg,cccidaho24
