title,creator,date,description,subject,location,location-lcsh,latitude,longitude,source,identifier,publisher,digital collection,holding institution,collection website,Language,date digital,type,format,rights,rightsstatement,digitization specifications,filename,OCLC number,Date created,Date modified,Reference URL,cdm-id,CONTENTdm file name,CONTENTdm file path,object-id
2nd Section West Canal (Canal lining and construction),"Foss, H.E.",5/21/1950,"Columbia Basin Project, Irrigation Division, 2nd section West Canal, Specs. 2541. 54-B shovel is loading 10 yard Euclid trucks with rock from the G.N.R.R. crossing plug at the station 1043/20. Water in the canal came from snow melt and sub-surface infiltration. A small patch of snow appears above the truck at the right. The sub-surface flow had to be pumped out of the canal. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above specifications. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington,United States--Washington,47.206033,-119.89233,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3578",94-4-3578,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055626,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1244,1244,903.jp2,/crbproj/image/903.jp2,crbp1244
Chief Inspector Inspects A Concrete Mixer (Canal lining and construction),"Foss, H.E.",3/5/1950,"Columbia Basin Project, Irrigation Division, 2nd section West Canal, Specs. 2541. Job-made A.E.A. dispenser on one of the Koehring 34E concrete mixers being examined by Chief Inspector Lloyd C. Russell. It is the rubber bag type, actuated by the charging skip. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above specifications. H.E. Foss, photographer",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.224783,-119.850969,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3741",94-4-3741,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055727,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1277,1277,936.jp2,/crbproj/image/936.jp2,crbp1277
Closeup Of Hoppers And Drainage Pipes Inside The Paver (Canal lining and construction),"Pomeroy, F.B.",4/7/1948,"West Canal, Specs. 1286, Winston-Utah Co. Hoppers and discharge pipes for concrete in Guntert and Zimmerman paver. Shuttle car is visible in the upper right corner.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.271527,-119.594378,"PG 94, Box 1, Folder Canal Lining and Construction,  3 16994",94-3-16994,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054700,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1274,1274,933.jp2,/crbproj/image/933.jp2,crbp1274
Dragline Excavation (Canal lining and construction),"Foss, H.E.",6/22/1950,"Columbia Basin Project, Irrigation Division, 1st section, Potholes East Canal, Specs. 2787. 54 B dragline excavating shot rock and loading into 18 cy. Yd. dump trucks hauling and wasting on right of station 231/00. Work is being performed by Guy F. Atkinson Co. under above specifications. H. E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Franklin County;Basin City,United States--Washington--Franklin County--Basin City,46.626036,-119.124584,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3977",94-4-3977,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055744,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1245,1245,904.jp2,/crbproj/image/904.jp2,crbp1245
Finished Canal Sans Water (Canal lining and construction),"Pomeroy, F.B.",4/7/1948,"West Canal, Specs. 1286, Winston-Utah Co. Finished canal, with curing compound applied. Sprayers work from platform nearest the camera, this moves independently from the paver.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.270653,-119.597297,"PG 94, Box 1, Folder Canal Lining and Construction,  3 16993",94-3-16993,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055704,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1276,1276,935.jp2,/crbproj/image/935.jp2,crbp1276
Heavy Equipment Excavation (Canal lining and construction),"Foss, H.E.",6/22/1950,"Columbia Basin Project, Irrigation Division, 1st section, Potholes East Canal, Specs. 2787. 120 B dragline electrically operated excavating canal section at station 328. Work is being performed by Guy F. Atkinson Co. under above specifications. H.E. Foss, photographer",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Franklin County;Basin City,United States--Washington--Franklin County--Basin City,46.631844,-119.124498,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3973",94-4-3973,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054686,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1246,1246,905.jp2,/crbproj/image/905.jp2,crbp1246
"Jumbo And Paver In The Distance, Support Machinery Along The Sides Of The Canal (Canal lining and construction)","Pomeroy, F.B.",4/7/1948,"West Canal, Specs. 1286, Winston-Utah Co, Reinforcing steel jumbo in middle distance and paver farthest from the camera.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington;Grant County;Quincy,United States--Washington--Grant County--Quincy,47.270187,-119.595752,"PG 94, Box 1, Folder Canal Lining and Construction,  3 17009",94-3-17009,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055223,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1275,1275,934.jp2,/crbproj/image/934.jp2,crbp1275
Main Canal (Canal lining and construction),"Pomeroy, F. B.",5/4/1948,"Columbia Basin Project, Irrigation Division I, Main Canal, Specifications 1236, J. A. Terteling and Sons, Inc., Contractors. Main canal looking upstream from sta. 33/00. Monighan dragline building up right bank with borrow material prior to pacing rock on face of bank from canal excavation.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington,United States--Washington,47.206022,-119.89222,"PG 94, Box 1, Folder Canal Lining and Construction,  3 16971",94-3-16971,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055666,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1243,1243,902.jp2,/crbproj/image/902.jp2,crbp1243
Montage (Canal lining and construction),"Foss, H. E.",3/17/1949,"Columbia Basin Project, Irrigation Division. This is a montage showing various stages in the construction of the West and East low canals. From the upper left proceeding clockwise: sloping; tamping; paving, West Canal; spraying, paving, East Low Canal; trimming, West Canal.",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington,United States--Washington,47.943335,-119.01324,"PG 94, Box 1, Folder Canal Lining and Construction,  4 2419",94-4-2419,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055683,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1240,1240,899.jp2,/crbproj/image/899.jp2,crbp1240
Schedule Ii Excavation (Canal lining and construction),"Foss, H. E.",9/8/1949,"Columbia Basin Project, Irrigation Division, Soap Lake Siphon, Specifications No. 2411, Utah Construction Company and Winston Bros. Co., Contractor. This view of the Schedule II excavation looking downstream from station 465/50/, shows the 1' sq. bar welded near the bottom of the 4' x 4' angle iron staub for the support of the outer curtain of re-steel. In the upper center, the contractor's men are preparing the invert for the staubs and the protective mortar slab. H. E. Foss, Photographer",Columbia Basin Reclamation Project (U.S.);;Canal lining and construction,Washington,United States--Washington,47.397971,-119.501971,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3205",94-4-3205,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,250 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055231,8/17/2010,2/22/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1241,1241,900.jp2,/crbproj/image/900.jp2,crbp1241
