title,dates,start_date,end_date,year span,description,person of interest,document type,publisher,subject,location,file type,identifier_old,identifier,source,type,format,rightsstatement,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Larry Garner Folder,1985-01-01,1985-01-01,,1985 - 1985,7 pages of family history documents containing and related to Larry Garner; - including: written tribute; Big Creek; photo,Larry Garner;,photographs;written history;,,Forest Service; Pack Team,Big Creek; Cold Meadows,Family History Files,Garner-Larry,Garner-Larry,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/10,10,108.pdf,/mccall/image/108.pdf,mccall10
Dr. Bradford Gauss Folder,1997-05-08,1997-05-08,,1997 - 1997,1 page of family history documents containing and related to Dr. Bradford Gauss - including: Star News article,Dr. Bradford Gauss,newspaper clippings;,Star News;,Dentist,McCall,Family History Files,Gauss-Dr-Bradford,Gauss-Dr-Bradford,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/11,11,109.pdf,/mccall/image/109.pdf,mccall11
Ray Arnold Folder,1954-08-28/1985-05-01,1954-08-28,1985-05-01,1954 - 1985,6 pages of family history documents containing and related to Ray Arnold; Carol Arnold - including: Aviator Mailman; Star News articles,Ray Arnold; Carol Arnold,newspaper clippings;,Star News;,Aviation; Mailman; Backcountry Ranch,Cascade; McCall; Big Creek,Family History Files,Arnold-Ray,Arnold-Ray,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/12,12,11.pdf,/mccall/image/11.pdf,mccall12
Elena Gestrin Folder,1976-03-24,1976-03-24,,1976 - 1976,15 pages of family history documents containing and related to Elena Gestrin; Otto Gestrin; - including: index; Oral History;,Elena Gestrin; Otto Gestrin;,oral histories;,,Finnish; Davis Ranch,Cascade,Family History Files,Gestrin-Elena,Gestrin-Elena,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/13,13,110.pdf,/mccall/image/110.pdf,mccall13
Austin and Uley Goodman Folder,1971-04-16/2008-08-08,1971-04-16,2008-08-08,1971 - 2008,41 page of family history documents containing and related to Austin Goodman; Uley Goodman; John Edward Austin Goodman; Gwenlyn Dana Goodman; Lulu Hogadone Goodman; Peter Leon Goodman; - including: index; Oral History; anniversary; obits; New Meadows; photos; interview,Austin Goodman; Uley Goodman; John Edward Austin Goodman; Gwenlyn Dana Goodman; Lulu Hogadone Goodman; Peter Leon Goodman;,oral histories;obituary;photographs;anniversary announcement;,,Mining; Churches; Power Plant; Dog Races,McCall; New Meadows,Family History Files,Goodman-Austin-and-Uley,Goodman-Austin-and-Uley,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/14,14,111.pdf,/mccall/image/111.pdf,mccall14
Emile Grandjean Folder,1977-04-27,1977-04-27,,1977 - 1977,2 pages of family history documents containing and related to Emile Grandjean - including: Payette National Forest; News articles,Emile Grandjean,newspaper clippings;,,Sawtooth Lodge; Forest Service,Grandjean,Family History Files,Grandjean-Emile,Grandjean-Emile,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/15,15,112.pdf,/mccall/image/112.pdf,mccall15
Dean Hagerman Folder,1993-12-01,1993-12-01,,1993 - 1993,1 page of family history documents containing and related to Dean Hagerman - including: News article; Idaho National Guard,Dean Hagerman,newspaper clippings;,,National Guard; FM Radio Station,McCall,Family History Files,Hagerman-Dean,Hagerman-Dean,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/16,16,113.pdf,/mccall/image/113.pdf,mccall16
Bess Freeman Folder,1942-01-01/1957-02-18,1942-01-01,1957-02-18,1942 - 1957,8 pages of family history documents containing and related to Bessie May Lucas Freeman; Gaylord Freeman; Elizabeth Clay Freeman - including: obits; memorial tribute;,Bessie May Lucas Freeman; Gaylord Freeman; Elizabeth Clay Freeman,obituary;,,McCall Drug Store; Sylvan Beach,McCall,Family History Files,Freeman-Bess,Freeman-Bess,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/17,17,114.pdf,/mccall/image/114.pdf,mccall17
Mr. and Mrs. R.B. Halferty Folder,1960-11-26,1960-11-26,,1960 - 1960,1 page of family history documents containing and related to R.B. Halferty - including: anniversary,R.B. Halferty,anniversary announcement;,,Pioneer; 1908,Donnelly,Family History Files,Halferty-Mr-and-Mrs-RB,Halferty-Mr-and-Mrs-RB,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/18,18,115.pdf,/mccall/image/115.pdf,mccall18
Dr. WilliamW. and Lucy Street Hall Folder,1971-02-14/1976-03-19,1971-02-14,1976-03-19,1971 - 1976,5 pages of family history documents containing and related to Dr. William W. Hall; Lucy Street Hall - including: News article; obits; memorial,Dr. William W. Hall; Lucy Street Hall,obituary;newspaper clippings;,,President of College of Idaho; Music; Organist; Choir,,Family History Files,Hall-Dr-WilliamW-and-Lucy-Street,Hall-Dr-WilliamW-and-Lucy-Street,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/19,19,116.pdf,/mccall/image/116.pdf,mccall19
George Fritzer Folder,1984-08-08/1978-03-22,1984-08-08,1978-03-22,1984 - 1978,"4 pages of family history documents containing and related to George Fritzer; Charlotte Jeanott Fritzer - including: written history; Warren, Idaho; News articles",George Fritzer; Charlottoe Jeanott Fritzer,newspaper clippings;written history;,,South Fork Ranch,Warren,Family History Files,Fritzer-George,Fritzer-George,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/20,20,117.pdf,/mccall/image/117.pdf,mccall20
Bill Harris Folder,1969-01-16/1993-02-15,1969-01-16,1993-02-15,1969 - 1993,30 pages of family history documents containing and related to Bill Harris; Edna Harris; - including: Oral History; obits,Bill Harris; Edna Harris;,oral histories;obituary;,,McCall shop owner; Burgdorf Hot Springs; Country Telephone,,Family History Files,Harris-Bill,Harris-Bill,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/21,21,118.pdf,/mccall/image/118.pdf,mccall21
Clark and Alice Hamilton Folder,1969-11-06,1969-11-06,,1969 - 1969,2 pages of family history documents containing and related to Clark Hamilton; Alice Hamilton - including: news article,Clark Hamilton; Alice Hamilton,newspaper clippings;,,Pioneer; Donnelly Mercantile; Idaho Senator,Roseberry; Donnelly,Family History Files,Hamilton-Clark-and-Alice,Hamilton-Clark-and-Alice,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/22,22,119.pdf,/mccall/image/119.pdf,mccall22
Don Beck Folder,1994-08-03/1996-05-23,1994-08-03,1996-05-23,1994 - 1996,3 pages of family history documents containing and related to Don Beck - including: Sculptor; news articles,Don Beck,newspaper clippings;,,Sculptor,McCall,Family History Files,Beck-Don,Beck-Don,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/23,23,12.pdf,/mccall/image/12.pdf,mccall23
Marvin Heikkila Folder,1995-07-27,1995-07-27,,1995 - 1995,1 page of family history documents containing and related to Marv Heikkila - including: Star News Article; Mortician,Marv Heikkila,newspaper clippings;,Star News;,Finnish; Mortician,,Family History Files,Heikkila-Marvin,Heikkila-Marvin,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/24,24,120.pdf,/mccall/image/120.pdf,mccall24
Matt Heikkola Folder,1956-07-10,1956-07-10,,1956 - 1956,"1 page of family history documents containing and related to Matt Heikkola Family - including: Heikkola family reunion, Star News article",Matt Heikkola Family,newspaper clippings;,Star News;,Finnish; Pioneer,Lake Fork,Family History Files,Heikkola-Matt,Heikkola-Matt,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/25,25,121.pdf,/mccall/image/121.pdf,mccall25
Adolf Heinrich Folder,1961-10-08/1997-06-19,1961-10-08,1997-06-19,1961 - 1997,43 pages of family history documents containing and related to Adolf G. Heinrich; Carl Heinrich; Leota Heinrich; Ernest Heinrich; Lake Fork; Hermine DeMond Heinrich; - including: photograph; Oral History; obits; News articles;,Adolf G. Heinrich; Carl Heinrich; Leota Heinrich; Ernest Heinrich; Lake Fork; Hermine DeMond Heinrich;,oral histories;obituary;photographs;newspaper clippings;,,German; Homesteader; Pioneer,Lake Fork,Family History Files,Heinrich-Adolf,Heinrich-Adolf,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/26,26,122.pdf,/mccall/image/122.pdf,mccall26
Kay Henderson Folder,1995-03-30,1995-03-30,,1995 - 1995,2 pages of family history documents containing and related to Kay Henderson - including: Star News article,Kay Henderson,newspaper clippings;,Star News;,Counselor,McCall,Family History Files,Henderson-Kay,Henderson-Kay,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/27,27,123.pdf,/mccall/image/123.pdf,mccall27
Herrick family Folder,1975-03-27/1980-03-16,1975-03-27,1980-03-16,1975 - 1980,5 pages of family history documents containing and related to Ed Herrick; Essie May Herrick; Clara Herrick; Alpha; Dorsey Herrick; Florence Herrick - including: wedding anniversary; News articles;,Ed Herrick; Essie May Herrick; Clara Herrick; Alpha; Dorsey Herrick; Florence Herrick,newspaper clippings;anniversary announcement;,,Clear Creek Homestead; Logging,McCall,Family History Files,Herrick-family,Herrick-family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/28,28,124.pdf,/mccall/image/124.pdf,mccall28
Rose Holbrook Folder,1970-09-05,1970-09-05,,1970 - 1970,1 page of family history documents containing and related to Rose Holbrook; Charles Holbrook - including: obit,Rose Holbrook; Charles Holbrook,obituary;,,Logging; Saw mill; Tamarack,,Family History Files,Holbrook-Rose,Holbrook-Rose,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/29,29,125.pdf,/mccall/image/125.pdf,mccall29
Charlie and Ethel Holt Folder,1973-10-21,1973-10-21,,1973 - 1973,3 pages of family history documents containing and related to Charlie Holt; Ethel Holt - including: Idaho Statesman news article; photograph,Charlie Holt; Ethel Holt,photographs;newspaper clippings;,Idaho Statesman;,"McCall Log Cabin,Teacher; Music; CCC",McCall,Family History Files,Holt-Charlie-and-Ethel,Holt-Charlie-and-Ethel,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/30,30,126.pdf,/mccall/image/126.pdf,mccall30
Marianne Holtz Folder,1995-10-30/1996-03-15,1995-10-30,1996-03-15,1995 - 1996,5 pages of family history documents containing and related to Marianne Holtz; - including: accident; Star News articles; landmine,Marianne Holtz;,newspaper clippings;,Star News;,Nurse; Africa; Landmines,McCall; Africa,Family History Files,Holtz-Marianne,Holtz-Marianne,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/31,31,127.pdf,/mccall/image/127.pdf,mccall31
Ward Hower Folder,1983-07-10,1983-07-10,,1983 - 1983,1 page of family history documents containing and related to Ward Hower - including: Cascade mayor; Star News article,Ward Hower,newspaper clippings;,Star News;,Cascade Mayor; Counselor for USIU in San Diego,Cascade; San Diego,Family History Files,Hower-Ward,Hower-Ward,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/32,32,128.pdf,/mccall/image/128.pdf,mccall32
Blake Hancock Folder,1976-04-02,1976-04-02,,1976 - 1976,27 pages of family history documents containing and related to Blake Hancock; - including: New Meadows; Index; Oral History,Blake Hancock;,oral histories;,,Riggins Store; Meadows Valley Hot Springs,New Meadows; Riggins,Family History Files,Hancock-Blake,Hancock-Blake,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/33,33,129.pdf,/mccall/image/129.pdf,mccall33
H.E. (Bert) Armstrong Folder,1912-07-01,1912-07-01,,1912 - 1912,"1 page of family history documents containing and related to H. E. Armstrong ""Bert"" - including: historical research","H. E. Armstrong ""Bert""",,,Donnelly Bank,Long Valley,Family History Files,Armstrong-HE-Bert,Armstrong-HE-Bert,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/34,34,13.pdf,/mccall/image/13.pdf,mccall34
Bus and Velma Ingebretsen Folder,1982-06-23,1982-06-23,,1982 - 1982,"3 pages of family history documents containing and related to Bus Ingebretsen, Velma McDonald Ingebretson; Roseberry; - including: Star News article","Bus Ingebretsen, Velma McDonald Ingebretson; Roseberry;",newspaper clippings;,Star News;,Teacher; Idaho Power Company;,Roseberry; McCall; Warren,Family History Files,Ingebretsen-Bus-and-Velma,Ingebretsen-Bus-and-Velma,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/35,35,130.pdf,/mccall/image/130.pdf,mccall35
