title,description,creator,date,source,identifier,format_original,type,format,rights,rightsstatement,language,datedigital,referenceurl,cdmid,cdmfilename,objectid,subject
"Lewiston Orchards Life, 1913 March","Vol. 2 no. 03, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,3/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191303,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/223,223,222.pdf,spec_lof223,birds (animals);societies (associations);clubs (associations);frequently asked questions;weather;excerpts;pruning;social networking;concept houses;country houses;livestock;obituaries;apples (fruits);orchards;grape (berry fruit);vineyards;horticulture;irrigation systems;vocational training;schools (institutions)
"Lewiston Orchards Life, 1913 November","Vol. 2 no. 11, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,11/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191311,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/224,224,223.pdf,spec_lof224,apples (fruits);orchards;social networking;poultry;administrative office buildings;vocational training;schools (institutions);societies (associations);clubs (associations);food storage equipment
"Lewiston Orchards Life, 1913 June","Vol. 2 no. 06, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,6/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191306,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/225,225,224.pdf,spec_lof225,strawberries (fruits);social networking;societies (associations);clubs (associations);community development;weather;rose gardens;rose (genus);cherry tree (plant);pear (genus);injury (medical condition);advice;domestic science;horticulture;recipes
"Lewiston Orchards Life, 1913 December","Vol. 2 no. 12, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,12/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191312,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/226,226,225.pdf,spec_lof226,rivers;social networking;societies (associations);clubs (associations);vocational training;schools (institutions);pruning;orchards;investments (expenditures);apples (fruits)
"Lewiston Orchards Life, 1914 January","Vol. 3 no. 01, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,1/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191401,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/227,227,226.pdf,spec_lof227,walnuts (nuts);social networking;societies (associations);clubs (associations);apples (fruits);irrigation centers (inhabited places);orchards;hotbeds;advertising;planting plans;churches (institutions);agricultural cooperatives 
"Lewiston Orchards Life, 1913 September","Vol. 2 no. 09, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,9/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191309,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/228,228,227.pdf,spec_lof228,planned communities;country houses;social networking;societies (associations);clubs (associations);irrigation;groundcover;market prices;agricultural cooperatives;flower gardens;recreation areas;elementary schools (institutions)
"Lewiston Orchards Life, 1914 February","Vol. 3 no. 02, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,2/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191402,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/229,229,228.pdf,spec_lof229,apples (fruits);social networking;societies (associations);clubs (associations);market prices;agricultural cooperatives;highways;domestic science;contracts;planting 
"Lewiston Orchards Life, 1914 April","Vol. 3 no. 04, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,4/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191404,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/230,230,229.pdf,spec_lof230,location maps;social networking;societies (associations);clubs (associations);irrigation;water supply systems;elementary schools (institutions);spring (season);telephone systems;rose (genus);groundcover;highways;marketing
"Lewiston Orchards Life, 1914 June","Vol. 3 no. 06, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,6/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191406,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/231,231,230.pdf,spec_lof231,elementary schools (institutions);social networking;societies (associations);clubs (associations);apples (fruits);orchards;landscaping;bee (Avis genus);insect damage;infestation;irrigation;baseball (field sport);pruning;Fourth of July;corn (species);cherry (plant);recipes
"Lewiston Orchards Life, 1913 August","Vol. 2 no. 08, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,8/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191308,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/232,232,231.pdf,spec_lof232,horticulture;social networking;societies (associations);clubs (associations);orchards;fairs;groundcover;packing houses;vocational training;schools (institutions);post offices;harvesting;horticulture;summer (season);pruning
