objectid,title,description,creator,date,subject,,subject (lcsh),keywords,digital collection,source,findingaid,identifier,digital identifier,rights,rightsstatement,format original,type,language,format,cdm_url,cdmid
spec_ji314,Five unidentified people [01],Portrait of five unidentified men.,"Iddings, John Edward",1927,portait; people; group,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 001",0106-01-01,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/314,314
spec_ji315,Group posing in front of a castle,A man and two women pose by the water with a castle in the background.,"Iddings, John Edward",1927,castles; people; pond,,Castles;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 002",0106-01-02,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/315,315
spec_ji316,Eiffel Tower,"A photograph of the Eiffel Tower in Paris, France.","Iddings, John Edward",1927,"Eiffel Tower (Paris, France); France; Europe",,"Eiffel Tower (Paris, France);",,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 003",0106-01-03,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/316,316
spec_ji317,Five unidentified people [02],"A portrait of five unidentified men, standing in order from tallest to shortest","Iddings, John Edward",1927,portait; people; group,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 004",0106-01-04,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/317,317
spec_ji318,Bathing huts,"Bathing huts are moved to and from the waters edge via carts on a beach. People can be seen along the left side of the image, looking at the water.","Iddings, John Edward",1927,beach; people; sand; ocean,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 005",0106-01-05,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/318,318
spec_ji319,"Pont du Gard, France","Pont du Gard, France.","Iddings, John Edward",1927,Pont du Gard (France); Aqueducts -- France; Roman aqueduct; aqueducts,,Pont du Gard (France); Aqueducts -- France;,"Roman aqueduct, aqueducts",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 006",0106-01-06,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/319,319
spec_ji320,Maud Iddings in a gondola,"Maud Iddings sitting in a gondola with gondolier standing up behind her in Venice, Italy.","Iddings, John Edward",1927,Venice (Italy); gondolas; transport; transportation,,Venice (Italy); Gondolas;,"gondolas, transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 007",0106-01-07,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/320,320
spec_ji321,Dam,A dam or aqueduct structure in an unknown location.,"Iddings, John Edward",1927,dams; aqueducts; water,,Dams;,aqueducts,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 008",0106-01-08,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/321,321
spec_ji322,Small private island,Small private island with building and vegetation.,"Iddings, John Edward",1927,Islands -- India; island; water,,Islands -- India;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 013",0106-1-13,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/322,322
spec_ji323,Cruise ship,A large ocean liner at sea.,"Iddings, John Edward",1927,cruise ships; transport; transportation; ships,,Cruise ships;,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 014",0106-1-14,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/323,323
