title,date,date is approximate,description,subject,source,location,latitude,longitude,subject (lcsh),format original,donor,identifier,digital collection,format,type,rights,rightsstatements,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Map,1916,y,Map of Bovill indicating where the Bovill Ranch is located.,maps,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,maps (documents),color photographs,,02-01-001-map,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/0,0,1.jp2,/lchsphotos/image/1.jp2,lchsphotos0
Bovill Meadow,1918,y,View of the Bovill meadow with a split rail fence in the left corner and Abe's Butte in the distance.,fences; meadows,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,meadows;rail fences,scrapbooks,,02-01-009,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/1,1,10.jp2,/lchsphotos/image/10.jp2,lchsphotos1
Bovill Cemetery,1980,y,Bovill Cemetery gate and headstones with trees in the distance.,cemeteries,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,cemeteries,color photographs,D. Schell,02-07-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/2,2,100.jp2,/lchsphotos/image/100.jp2,lchsphotos2
Bovill School,1928,,Bovill's public school.,schools,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,schools (buildings),postcards,,02-06-015,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/3,3,101.jp2,/lchsphotos/image/101.jp2,lchsphotos3
Statehood Day,1990,,"Jessica Paterek holds Jared Staniford, who is waving a flag, during Bovill's Statehood Day celebration.",children; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),black and white photographs,Daily Idahonian,02-08-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/4,4,102.jp2,/lchsphotos/image/102.jp2,lchsphotos4
Centennial Relay,1990,,"Billy Sanderson, a Bovill resident, participating in Centennial Proclamation Relay during Bovill's Statehood Day celebration.",men; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),black and white photographs,Daily Idahonian,02-08-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/5,5,103.jp2,/lchsphotos/image/103.jp2,lchsphotos5
Speakers on Stage during Statehood Day,1990,,"A woman speaking on a stage during Bovill's Statehood Day celebration, while others sit behind her.",men; women; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),black and white photographs,,02-08-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/6,6,104.jp2,/lchsphotos/image/104.jp2,lchsphotos6
Residents Outdoors during Statehood Day,1990,,"People stand outside, looking at something, during Bovill's Statehood Day celebration.",celebrations; buildings,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),black and white photographs,,02-08-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/7,7,105.jp2,/lchsphotos/image/105.jp2,lchsphotos7
Two Women Quitling on Statehood Day,1990,,Two women work on a quilt during Bovill's Statehood Day celebration.,women; celebrations; quilting,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);quilting,black and white photographs,,02-08-006,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/8,8,106.jp2,/lchsphotos/image/106.jp2,lchsphotos8
Quilting on Statehood Day,1990,,A man works on a quilt during Bovill's Statehood Day celebration.,men; celebrations; quilting,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);quilting,black and white photographs,,02-08-007,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/9,9,107.jp2,/lchsphotos/image/107.jp2,lchsphotos9
