objectid,filename,title,creator,description,date,date is approximate?,subject,location,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
spanishflu001,PG90_8-1-84_11.jpg,Inland Hospital Postcard,"Ott, Clifford M.","Postcard depicting Dr. Carither's Inland Hospital, Moscow, Idaho. In 1918, while Dr. Carither's was serving the nation, he allowed Inland Hospital to be used for influenza patients from the university's Student Army Training Corps.",1910-01,yes,hospitals; moscow; buildings;,United States--Idaho--Latah County--Moscow,,"PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives",PG90_8-1-84_11,,Negative,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu002,PG40_WOR1.jpg,"'Angels of Mercy' - Red Cross Volunteers Marching in Armistice Parade ",,"Photograph of Red Cross Volunteers marching in World War I parade Main Street, Moscow, Idaho. ",1918-11-11,,Red Cross; Armistice Day; parades; moscow,United States--Idaho--Latah County--Moscow,,"PG 40, University of Idaho Alumni Association Photographs, University of Idaho Library Special Collections and Archives",PG 40_WOR1,,Photograph,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu003,MG170_1.jpg,September-October Daily Diary,"Thomas, Esther E. ","Page from Esther E. Thomas' university scrapbook describing the time of the the influenza on campus. On October 21st, she mentions how all the school has closed and there are 40 cases of the ""flu"" and she spent all day ""bum""ing at home. She is ""desperate"" for something to do by the second day, and starts nursing by the end of the week. ",1918-10,,nurses; students; student life; University of Idaho; World War I,United States--Idaho--Latah County--Moscow,,"MG 170, Esther E. Thomas Scrapbook, 1915-1919, University of Idaho Library Special Collections and Archives",MG 170_1,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu004,MG170_2.jpg,November-December Daily Diary,"Thomas, Esther E. ","Page from Esther E. Thomas' university scrapbook describing the time of the influenza on campus. She talks about working as a nurse for the ""flu"" boys and going into quarantine to get a health certificate, so she can return to classes.",1918-11,,nurses; students; student life; University of Idaho; World War I,United States--Idaho--Latah County--Moscow,,"MG 170, Esther E. Thomas Scrapbook, 1915-1919, University of Idaho Library Special Collections and Archives",MG170_2,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu005,MG170_3.jpg,The Red Cross,"Thomas, Esther E. ","After the outbreak of World War I and subsequently the influenza the American Red Cross mobilized thousands of individuals. In Moscow, to combat the war the Red Cross did everything they could from knitting socks to preparing bandages to be sent to soldiers. When the influenza came to the area they served as nurses, made flu masks and prepared meals for patients. Esther Thomas was a member of the American Red Cross beginning in 1917 by 1918 she served as a nurse at the university for patients of the influenza.",1917-12,,Red Cross; nurses; World War I;,United States--Idaho--Latah County--Moscow,,"MG 170, Esther E. Thomas Scrapbook, 1915-1919, University of Idaho Library Special Collections and Archives",MG170_3,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu006,MG170_4.jpg,"""Warning! Contagious Disease Within"" Sign","Thomas, Esther E. ",Sign used to warn of the influenza outbreak,1918-10,yes,disease,United States--Idaho--Latah County--Moscow,,"MG 170, Esther E. Thomas Scrapbook, 1915-1919, University of Idaho Library Special Collections and Archives",MG170_4,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu007,MG202_1.jpg,Alpha Kappa Epsilon House,"Thomas, Esther E. ",Photograph of the Alpha Kappa Epsilon House. This house was converted into an auxiliary hospital for patients with mild symptoms of the influenza.,1918-10,yes,hospitals; fraternities; houses,United States--Idaho--Latah County--Moscow,,"MG 202, Esther E. Thomas Scrapbook, 1918-1925, University of Idaho Library Special Collections and Archives",MG202_1,,Scrapbook,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu008,UG12_418_1.jpg,Student Petition,,"The first page of a signed petition from the students of the University of Idaho requesting cancellation of studies, school functions, and other duties until after the Thanksgiving Holiday due to the quarantine.",1918-11,yes,quarantine; students; University of Idaho,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_418_1,,Petition,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu009,UG12_526_01.jpg,"Telegram from Committee on Education to University of Idaho, October 6, 1918","Rees, Robert Irwin",Colonel Rees instructs the University of Idaho to provide a 50 foot square space per man and advises avoid crowds for Student Army Training Corps students due to the influenza. ,1918-10-06,,Student Army Training Corps (SATC); students; Committee on Education; University of Idaho; crowds,United States--District of Columbia,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_01,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu010,UG12_526_02.jpg,"Letter from Commanding Officer George W. Edgington to President Lindley, August 27, 1918","Edgington, George W.",Capt. Edgington requests appropriate facilities for expected influenza patients.,1918-08-27,,University of Idaho; hospital; response; patients; Student Army Training Corps (SATC); sickness,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_02,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu011,UG12_526_03.jpg,"""How To Strengthen Our Personal Defense Against Spanish Influenza"" ","Richard, Charles",Memorandum sent from the War Department giving 12 actions to take to defend against the influenza.,1918-09-27,,US Army; War Department; Student Army Training Corps (SATC); contagion; defense,United States--District of Columbia,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_03,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu012,UG12_526_04.jpg,"Telegram from Committee on Education to President Lindley, September 19, 1918","Committee on Education, US War Department",The Committee on Education enquires if any local physicians could perform health examinations on incoming Student Army Training Corps inductees due to a lack of medical officers.,1918-09-19,,Student Army Training Corps (SATC); telegram; doctors; physicians; examinations; health; Spanish Influenza,United States--District of Columbia,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_04,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu013,UG12_526_05.jpg,"Night Letter to President Lindley, September 23, 1918","Committee on Education, US War Department",President Lindley responds to Committee on Education recommending Dr. C.L. Gritman to be appointed medical officer.,1918-09-23,,Student Army Training Corps (SATC); telegram; doctors; physicians; examinations; health; Spanish Influenza,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_05,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu014,UG12_526_06.jpg,Daily Report on Influenza Patients,,"Daily report on men admitted, discharched, and died from the influenza.",1918-10-28,,Student Army Training Corps (SATC); report; health; patients; deaths; recoveries; diagnoses; men; Spanish Influenza,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_06,,Report,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu015,UG12_526_07.jpg,"Telegram from Biwer Secy to President Lindley, October 20, 1918","Secy, Biwer","Biwer Secy informs President Lindley that the State Board of Health has closed all public and private schools, and enacted a quarantine on on state institutions.",1918-10-20,,University of Idaho; Moscow; Student Army Training Corps (SATC); State Board of Health; quarantine; schools; state institutions; students; instructors; professors; student life; Spanish Influenza,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_07,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu016,UG12_526_08.jpg,"Telegram from Biwer Secy to President Lindley, November 12, 1918","Secy, Biwer",Biwer Secy informs President Lindley that the quarantine is not intended to interfere with activities within a quarantined district.,1918-11-12,,University of Idaho; Moscow; State Board of Health; quarantine; schools; state institutions; students; instructors; professors; student life; activities; Student Army Training Corps (SATC); Spanish Influenza,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_08,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu017,UG12_526_09.jpg,"Telegram from President Lindley to Biwer Secy, November 11, 1918","Lindley, Ernest H.",President Lindley enquires about an open air assembly during quarantine.,1918-11-11,,University of Idaho; Moscow; State Board of Health; quarantine; schools; state institutions; students; instructors; professors; student life; activities; Student Army Training Corps (SATC); Spanish Influenza,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_09,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu018,UG12_526_10.jpg,"Letter from President Lindley to Dr. Kotalik, December 6, 1918","Lindley, Ernest H.",President Lindley requests for Dr. F.J. Kotalik to determine the fitness of a student to continue study after the influenza.,1918-12-05,,University of Idaho; Moscow; students; symptons; contagion; Student Army Training Corps (SATC);letter,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_10,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu019,UG12_526_11.jpg,Quarantine Regulations,"Lindley, Ernest H.",Quarantine regulations signed by President Lindley for the university. ,1918-10,,University of Idaho; Moscow; quarantine; students; student life; activities; Student Army Training Corps (SATC); crowds; windows; Spanish Influenza,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_11,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu020,UG12_526_12.jpg,List of Men Who Died While In SATC,,List of the twelve men who died from the Spanish Influenza while in the University of Idaho Student Army Training Corps. ,1918-12,yes,University of Idaho; deaths; Student Army Training Corps (SATC);men; list,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_526_12,,Report,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
