title,description,subject,date,source,format,language,type,rights,rightsstatement,date_created,date_created,date_modified,cdm_url,cdmid,contentdmfilename,contentdmfilepath,objectid,reference_url
The Idaho Forester - 1922 (Vol. 04),,forest fire management;forest policy;forest regeneration;forest succession;forestry;hardwood;India;land use;natural resources conservation;Pinus peuce;Thuja plicata,1922,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/68,68,69.pdf,/forester/supp/68/index.pdf,forester68,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1917 (Vol. 01),,Abies grandis;blister rust;forestry;grazing;logging;organizations;Pinus;range management;topography,1917,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/109,109,110.pdf,/forester/supp/109/index.pdf,forester109,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1920 (Vol. 02),,forest policy;forest products industry;Pinus;plant pathology,1920,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/150,150,151.pdf,/forester/supp/150/index.pdf,forester150,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1921 (Vol. 03),,commodity prices;forest policy;forest recreation;forestry;fungal diseases of plants;logging;Pinus ponderosa;wood products,1921,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/203,203,204.pdf,/forester/supp/203/index.pdf,forester203,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1923 (Vol. 05),,Alces alces;blister rust;Coeur d&#39;Alene National Forest;equipment;forestry;grazing;Pinus ponderosa;public relations;taxes;USDA Forest Service,1923,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/272,272,273.pdf,/forester/supp/272/index.pdf,forester272,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1924 (Vol. 06),,decayed wood;fire fighting;forest economics;forest fire management;forest management;forestry;logging;Pinus monticola;range management;slash;Ursidae,1924,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/341,341,342.pdf,/forester/supp/341/index.pdf,forester341,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1925 (Vol. 07),,conifers;ethics;forest policy;foresters;grazing;Pinus;Pinus monticola;pulp and paper industry,1925,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/418,418,419.pdf,/forester/supp/418/index.pdf,forester418,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1926 (Vol. 08),,conifers;forest engineering;forest fires;foresters;forestry;Pinus ponderosa,1926,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/487,487,488.pdf,/forester/supp/487/index.pdf,forester487,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1928 (Vol. 10),,blister rust;foresters;rodents;sapwood;state forests;waste wood,1928,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/556,556,557.pdf,/forester/supp/556/index.pdf,forester556,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1927 (Vol. 09),,forest nurseries;forest policy;foresters;forestry;Pinus ponderosa,1927,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/26/2018,4/26/2018,4/26/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/625,625,626.pdf,/forester/supp/625/index.pdf,forester625,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1929 (Vol. 11),,foresters;forestry;logging;measuring devices,1929,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/694,694,695.pdf,/forester/supp/694/index.pdf,forester694,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1931 (Vol. 13),,Abies;bark;forest fire management;foresters;forestry;measuring devices;Pinus;Pinus ponderosa;range management;wood chemistry,1931,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/832,832,833.pdf,/forester/supp/832/index.pdf,forester832,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1932 (Vol. 14),,blister rust;foresters;Pinus;rangelands,1932,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/26/2018,4/26/2018,4/26/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/903,903,904.pdf,/forester/supp/903/index.pdf,forester903,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1933 (Vol. 15),,chemistry;experimental forests;foresters;game animals;irrigation;national forests;tribal lands,1933,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/970,970,971.pdf,/forester/supp/970/index.pdf,forester970,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1934 (Vol. 16),,blister rust;experimental forests;forestry;forest fires;game animals,1934,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1037,1037,1038.pdf,/forester/supp/1037/index.pdf,forester1037,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1935 (Vol. 17),,erosion control;forest fire management;foresters;logging;National Park Service,1935,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1104,1104,1105.pdf,/forester/supp/1104/index.pdf,forester1104,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1936 (Vol. 18),,employment opportunities;forestry;land use;range management,1936,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1163,1163,1164.pdf,/forester/supp/1163/index.pdf,forester1163,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1937 (Vol. 19),,foresters;logging;range management,1937,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1222,1222,1223.pdf,/forester/supp/1222/index.pdf,forester1222,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1938 (Vol. 20),,forest management;forest yields;land use;Pinus,1938,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1293,1293,1294.pdf,/forester/supp/1293/index.pdf,forester1293,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1939 (Vol. 21),,erosion control;grazing;land policy;National Park Service;natural resources conservation;range management;USDA Forest Service;wood chemistry,1939,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1360,1360,1361.pdf,/forester/supp/1360/index.pdf,forester1360,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1940 (Vol. 22),,forest yields;forestry;game animals;labor economics;land restoration,1940,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1443,1443,1444.pdf,/forester/supp/1443/index.pdf,forester1443,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1941 (Vol. 23),,arboreta;blister rust;Pinus;range management;sheep,1941,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1510,1510,1511.pdf,/forester/supp/1510/index.pdf,forester1510,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1942 (Vol. 24),,forest policy;forestry;national forests;range management;sheep;wood processing,1942,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1565,1565,1566.pdf,/forester/supp/1565/index.pdf,forester1565,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1943 (Vol. 25),,foresters;forestry,1943,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1604,1604,1605.pdf,/forester/supp/1604/index.pdf,forester1604,http://localhost:4000/digital/forester/items/.html
