title,description,item information,postcard type,photographer,date,subject,location,state,publisher,publisher location,source,date is approximate,identifier,rights,standardized rights,original format,type,format,language,latitude,longitude,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Payette Lake,"Postcard is of Payette Lake in Idaho | Payette Lake on North Fork of the Payette River, Idaho, is reached over Highway 15 from Boise or Highway 95. Wooded shore lines, crystal-clear water are characteristic of Idaho's vacation land jeweled with excellent fishing lakes and streams. Union Oil Company's Natural Color Scenes of the West. Tour the West this year with 76 gasoline.",,photographic postcards,,1970,mountains; lakes; trees; photographic postcards,Payette Lake,Idaho,Union Oil Company,,"PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,44.966247,-116.058347,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/0,0,1.pdf,/nwpostcards/image/1.pdf,nwpostcards0
American Black Bear. A native to this area.,Postcard of an American Black Bear | American Black Bear. A native to this area.,"written message; postage applied; Postmark: 8/27/1960, Klamath Falls, OR; Destination: Dallas, TX",photographic postcards,,1960,photographic postcards; Ursidae (family),,Idaho?,Security Lithograph Company,"San Francisco, CA","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,,,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/1,1,10.pdf,/nwpostcards/image/10.pdf,nwpostcards1
"Moyie River Bridge, Highway 2","Postcard is of a bridge near the Moyie Dam near Bonners Ferry, Idaho. | Moyie River Bridge, Highway 2. Moyie River Bridge, 464 ft. high and 1222 ft. long, is located 9 miles northeast of Bonners Ferry on Hwy. 2. This exciting span was finished in 1965, a 3 year project. It is considered to be one of North Idaho's most spectacular highway views. The Bonners Ferry municipal powerhouse is seen at the base of turbulent Moyie Falls. Moyie Falls was a highly regarded scenic point before the bridge was built.",,photographic postcards,Ross Hall,1970,cantilever bridges; truss bridges; rivers; buildings; trees; mountains; photographic postcards,Moyie River Canyon Bridge; Bonners Ferry; Moyie Dam,Idaho,Ross Hall Scenics,"Sandpoint, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_104,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.875 x 4, Color",Image;StillImage,application/pdf,eng,48.733635,-116.175733,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/2,2,100.pdf,/nwpostcards/image/100.pdf,nwpostcards2
"Little Redfish, Big Redfish Lakes",Postcard is of Little and Big Redfish Lakes in the Sawtooth Mountains in Idaho.  | Little Redfish - Big Redfish Lakes in the Sawtooth National Forest. Located in the Idaho Primitive Area. The Sawtooth Range is in the background. Camping and lodge facilities are available throughout the area.,,photographic postcards,J.H. Burnett,1970,lakes; mountains; trees; clouds; photographic postcards,Redfish Lake; Stanley; Sawtooth National Forest,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_105,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.4375, Color",Image;StillImage,application/pdf,eng,44.178511,-114.897623,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/3,3,101.pdf,/nwpostcards/image/101.pdf,nwpostcards3
Old Vienna Mine,"Postcard is a photograph from the rubble remains of the mining town of Vienna in the Sawtooth National Forest, Idaho. | The Old Vienna Mine (The Place to go is Idaho) This famous mining area was opened in 1879. By 1883 a twenty stamp mill was turning out between forty and fifty thousand dollars worth of ore per month. It continued this production until 1885 when a Lawsuit closed the property. In 1917 the Old Vienna Co. reacquired control over the Mines, built a new Mill, and camp, but to no avail. The Mill never ran and the area, which had produced over five hundred thousand dollars worth of Silver, sank into ruin.",,photographic postcards,,1970,ghost towns; mining towns; buildings; mountains; trees; photogaphic postcards,Sawtooth National Forest; Smiley,Idaho,H.W. Steward,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_106,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,43.8165704,-114.8300695,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/4,4,102.pdf,/nwpostcards/image/102.pdf,nwpostcards4
"Boise, Idaho","Postcard is a photograph of the Ada County Courthouse in Boise, Idaho.  | Ada County Courthouse, Boise, Idaho. Ada County is the most populous county in the State of Idaho. The trading center of southwest Idaho it is rich in dairying and agriculture.",,photographic postcards,H.D. Anderson,1970,public buildings; county courthouses; trees; photographic postcards,Boise,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_075,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,43.61022,-116.197898,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/5,5,103.pdf,/nwpostcards/image/103.pdf,nwpostcards5
"Sawtooth Mts., Idaho","Postcard of the Sawtooth Mountains in Idaho.  | ""Rugged Sawtooth Peaks"" in the primitive area of the Sawtooth National Forest.",,photographic postcards,Cal Harbert,1970,mountains; snow; clouds; photographic postcards,Sawtooth National Forest,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_107,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,44.156593,-114.958992,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/6,6,104.pdf,/nwpostcards/image/104.pdf,nwpostcards6
Payette River north of Smith's Ferry,"Postcard of a bridge over the Payette River north of Smith's Ferry on Highway 55 in Idaho.  |  This graceful span crosses the Payette River north of Smith's Ferry, Idaho, on picturesque State Highway 15. This scenic road winds its way through national forests to McCall, a vacation mecca.",,photographic postcards,Jack Taylor,1970,highways; bridges; trees; rivers; photographic postcards,Smith's Ferry; Payette River,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_108,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.4375, Color",Image;StillImage,application/pdf,eng,44.324508,-116.060215,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/7,7,105.pdf,/nwpostcards/image/105.pdf,nwpostcards7
Perrine Memorial Bridge,"Postcard of the Perrine Memorial Bridge near Twin Falls, Idaho. | Perrine Memorial Bridge. The Perrine Memorial Bridge on Highway 93 is one of the highest in the United States. This bridge is 1400 feet long and is 476 feet high, crossing the Snake River 3 miles north of Twin Falls.",,photographic postcards,Ken Stone,1980,truss bridges; arch bridges; bridges; rivers; canyons; photographic postcards,Perrine Memorial Bridge; Twin Falls,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_109,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.5, Color",Image;StillImage,application/pdf,eng,42.601715,-114.460205,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/8,8,106.pdf,/nwpostcards/image/106.pdf,nwpostcards8
Upper Mesa Falls,"Postcard of Upper Mesa Falls near Ashton, Idaho.  | Upper Mesa Falls. This 106' drop makes one of the largest falls of the mighty Snake River, which flows through Idaho before joining he Columbia River.",,photographic postcards,Bill Empie,1970,waterfalls (natural bodies of water); trees; rivers; rocks; photographic postcards,Upper Mesa Falls; Ashton,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_110,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,44.186066,-111.32805,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/9,9,107.pdf,/nwpostcards/image/107.pdf,nwpostcards9
