objectid,title,description,interviewee,creator,creators title,interviewer,date original,date is approximate?,subject (lcsh),subject (keywords),coverage,latitude,longitude,publisher,contributing institution,publisher digital,digital collection,source,national archive number,identifier,regional office number,rights,format original,duration,type,digital format,language,website,genre,digitization specifications,date digital,full text,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path
sbw_001,Powell Ranger Station,"Powell Ranger Station, Photographer Unknown, 1954-09-13",,Photographer Unknown,,,9/13/1954,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics14b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/0,0,1.jp2,/sbw/image/1.jp2
sbw_002,"O'Hara Ranger Station, Nez Perce National Forest","O'Hara Ranger Station, Nez Perce National Forest, Photographer Unknown, 1981",,Photographer Unknown,,,1981,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics21b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/1,1,10.jp2,/sbw/image/10.jp2
sbw_003,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Wolff, M. H., 1925",,"Wolff, M. H.",,,1925,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,197338,R1EngrPics35,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/2,2,11.jp2,/sbw/image/11.jp2
sbw_004,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1935-07-18",,Photographer Unknown,,,7/18/1935,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics34,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/3,3,12.jp2,/sbw/image/12.jp2
sbw_005,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Swan, K. D., 1938",,"Swan, K. D.",,,1938,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,366238,R1EngrPics37,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/4,4,13.jp2,/sbw/image/13.jp2
sbw_006,"Red River Ranger Station, Nez Perce National Forest, Built 1920","Red River Ranger Station, Nez Perce National Forest, Built 1920, Photographer Unknown, 1937",,Photographer Unknown,,,1937,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.709296,-115.343084,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics36,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/5,5,14.jp2,/sbw/image/14.jp2
sbw_007,Moose Creek Ranger Station Commissary,"Moose Creek Ranger Station Commissary, Walker, Richard, 1969",,"Walker, Richard",,,1969,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,moose_crk_commisary_1969,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/6,6,15.jp2,/sbw/image/15.jp2
sbw_008,Moose Creek Landing Strip,"Moose Creek Landing Strip, Photographer Unknown, 1936",,Photographer Unknown,,,1936,,Selway-Bitterroot Wilderness,airstrip;,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,moose_creek_landing_strip,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/7,7,16.jp2,/sbw/image/16.jp2
sbw_009,"Moose Creek Ranger Station, Bitterroot National Forest","Moose Creek Ranger Station, Bitterroot National Forest, Flint, R. S., 1922-07-29",,"Flint, R. S.",,,7/29/1922,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.122749,-114.92878,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,168760,MooseCreek_1922,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/8,8,17.jp2,/sbw/image/17.jp2
sbw_010,"Allen Ranger Station, Bitterroot National Forest","Allen Ranger Station, Bitterroot National Forest, Theo Shoemaker, 1924",,Theo Shoemaker,,,1924,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),"45.702148,",-114.716774,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility photo files,184862,R1EngrPics1a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/9,9,18.jp2,/sbw/image/18.jp2
sbw_011,"Allen (Magruder) Ranger Station, Bitterroot National Forest","Allen (Magruder) Ranger Station, Bitterroot National Forest, Flint, Holland, 1922",,"Flint, Holland",,,1922,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702148,-114.716774,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,168791,R1EngrPics1b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/10,10,19.jp2,/sbw/image/19.jp2
sbw_012,"Powell Ranger Station, Loading Pack String","Powell Ranger Station, Loading Pack String, Photographer Unknown, 1936",,Photographer Unknown,,,1936,,Selway-Bitterroot Wilderness,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics15,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/11,11,2.jp2,/sbw/image/2.jp2
sbw_013,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,"Wolfe, K., Forest Supervisor",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,231795,R1EngrPics2a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/12,12,20.jp2,/sbw/image/20.jp2
