title,filename,president,commencementaddress,guestspeakers,date,archivaldate,location,latitude,longitude,source,identifier,type,format,format original,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
First Annual Commencement University of Idaho,commencement-jun1896.pdf,"Gault, Franklin Benjamin ",,,1896-06-11,11 June 1896,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1896,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1212,1212,1134.pdf,/commencement/image/1134.pdf,commencement001
Graduation Exercises,uicommencement-1897-06-10.pdf,"Gault, Franklin B. ",,,1897-06-10,10 June 1897,,,,University of Idaho Library Special Collections and Archives,uicommencement-1897-06-10,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1124,1124,1132.pdf,/commencement/image/1132.pdf,commencement002
Commencement Exercises University of Idaho,commencement-jun1898.pdf,"Gault, Franklin Benjamin ",,,1898-06-03,03 June 1898,,,,University of Idaho Library Special Collections and Archives,commencement-jun1898,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1090,1090,1070.pdf,/commencement/image/1070.pdf,commencement003
Commencement Exercises,uicommencement-1899-06-15.pdf,"Blanton, Joseph P. ","Lewis, James Hamilton ",,1899-06-15,15 June 1899,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1899-06-15,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1104,1104,1214.pdf,/commencement/image/1214.pdf,commencement004
Commencement Exercises,uicommencement-1900-06-13.pdf,"Blanton, Joseph P. ","King, Charles",,1900-06-13,13 June 1900,Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1900-06-13,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1078,1078,1129.pdf,/commencement/image/1129.pdf,commencement005
Commencement Exercises,uicommencement-1902-06-11.pdf,"MacLean, James Alexander ","Aylesworth, Barton O. ",,1902-06-11,11 June 1902,,,,University of Idaho Library Special Collections and Archives,uicommencement-1902-06-11,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1155,1155,1170.pdf,/commencement/image/1170.pdf,commencement006
Commencement Exercises,uicommencement-1903-06-10.pdf,"MacLean, James Alexander ","Wise, Stephen S. ",,1903-06-10,10 June 1903,,,,University of Idaho Library Special Collections and Archives,uicommencement-1903-06-10,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1143,1143,1055.pdf,/commencement/image/1055.pdf,commencement007
University of Idaho Commencement Exercises ,uicommencement-1904-06-08.pdf,"MacLean, James Alexander ","Kane, Thomas F.",,1904-06-08,08 June 1904,,,,University of Idaho Library Special Collections and Archives,uicommencement-1904-06-08,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1210,1210,1191.pdf,/commencement/image/1191.pdf,commencement008
Commencement Exercises,uicommencement-1906-06-06.pdf,"MacLean, James Alexander ","Wise, Stephen S. ",,1906-06-06,06 June 1906,,,,University of Idaho Library Special Collections and Archives,uicommencement-1906-06-06,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1196,1196,1120.pdf,/commencement/image/1120.pdf,commencement009
Commencement University of Idaho,commencement-jun1907.pdf,"MacLean, James Alexander ","Overstreet, Harry Allen ",,1907-06-12,12 June 1907,,,,University of Idaho Library Special Collections and Archives,commencement-jun1907,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1059,1059,1143.pdf,/commencement/image/1143.pdf,commencement010
Commencement University of Idaho,commencement-jun1908.pdf,"MacLean, James Alexander ","Aishie, James F. ",,1908-06-10,10 June 1908,,,,University of Idaho Library Special Collections and Archives,commencement-jun1908,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1105,1105,1125.pdf,/commencement/image/1125.pdf,commencement011
Commencement University of Idaho,uicommencement-1909-06-09.pdf,"MacLean, James Alexander ","French, Burton L. ",,1909-06-09,09 June 1909,,,,University of Idaho Library Special Collections and Archives,uicommencement-1909-06-09,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1054,1054,1167.pdf,/commencement/image/1167.pdf,commencement012
Commencement University of Idaho,uicommencement-1910-06-15.pdf,"MacLean, James Alexander ","Dietrich, Frank S. ",,1910-06-15,15 June 1910,,,,University of Idaho Library Special Collections and Archives,uicommencement-1910-06-15,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1180,1180,1112.pdf,/commencement/image/1112.pdf,commencement013
Commencement University of Idaho,uicommencement-1911-06-14.pdf,"MacLean, James Alexander ","Hawley, James H.",,1911-06-14,14 June 1911,,,,University of Idaho Library Special Collections and Archives,uicommencement-1911-06-14,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1110,1110,1190.pdf,/commencement/image/1190.pdf,commencement014
Commencement University of Idaho,commencement-jun1912.pdf,"MacLean, James Alexander ","Post, Frank T. ",,1912-06-12,12 June 1912,,,,University of Idaho Library Special Collections and Archives,commencement-jun1912,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1126,1126,1093.pdf,/commencement/image/1093.pdf,commencement015
University of Idaho Commencement,commencement-jun1913.pdf,"Carlyle, William Levi ","Shepardson, Francis W. ",,1913-06-11,11 June 1913,,,,University of Idaho Library Special Collections and Archives,commencement-jun1913,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1099,1099,1174.pdf,/commencement/image/1174.pdf,commencement016
University of Idaho Commencement,commencement-jun1914.pdf,"Brannon, Melvin Amos ","Sisson, Edward Octavius ",,1914-06-10,10 June 1914,,,,University of Idaho Library Special Collections and Archives,commencement-jun1914,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1083,1083,1145.pdf,/commencement/image/1145.pdf,commencement017
University of Idaho Commencement,commencement-jun1915.pdf,"Brannon, Melvin Amos ","Foster, William Trufant",,1915-06-09,09 June 1915,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1915,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1198,1198,1128.pdf,/commencement/image/1128.pdf,commencement018
University of Idaho Commencement,commencement-jun1916.pdf,"Brannon, Melvin Amos ","Wilbur, Ray Lyman ",,1916-06-07,07 June 1916,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1916,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1199,1199,1218.pdf,/commencement/image/1218.pdf,commencement019
University of Idaho Twenty-Second Annual Commencement,commencement-jun1917.pdf,"Brannon, Melvin Amos ","Briggs, LeBarron Russell ",,1917-06-08,08 June 1917,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1917,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1160,1160,1083.pdf,/commencement/image/1083.pdf,commencement020
University of Idaho Twenty-Third Annual Commencement,commencement-jun1918.pdf,"Lindley, Ernest Hiram","White, William Allen ",,1918-06-05,05 June 1918,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1918,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1111,1111,1103.pdf,/commencement/image/1103.pdf,commencement021
University of Idaho Twenty-Fourth Annual Commencement,commencement-jun1919.pdf,"Lindley, Ernest Hiram","Reinhardt, Aurelia Henry ",,1919-06-11,11 June 1919,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1919,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1067,1067,1193.pdf,/commencement/image/1193.pdf,commencement022
