title,creator,editors,photographs,illustrations,graphic design,board of directors,date,date is approximate,description,subject,location,latitude,longitude,source,identifier,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
Newsletter June 1989,Moscow Food Co-op,"London, Bill",,,"Shelly, Barbara",,1989-06,,,newsletters; cooperatives (business enterprises); wedding objects; tuna,"314 South Washington Street, Moscow Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",newsletter_1989jun,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/0,0,37.pdf,/moscowcoop/image/37.pdf,moscowcoop0001
Community News August 1994,Moscow Food Co-op,"London, Bill",,,"Cantrell, Kim","Harvey-Marose, Peg; Harvey, Jeannie; Adams, Anne; Cunningham, Erika; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Swett, Sarah",1994-08,,,newsletters; cooperatives (business enterprises); breakfasts; grills,"310 West Third Street, Moscow Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-1994aug,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/1,1,131.pdf,/moscowcoop/image/131.pdf,moscowcoop0002
Newsletter September 1989,Moscow Food Co-op,"Casey, Nancy",,,"Shelly, Barbara",,1989-09,,,newsletters; cooperatives (business enterprises); openings (events); aquifers,"310 West Third Street, Moscow Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",newsletter_1989sep,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/2,2,19.pdf,/moscowcoop/image/19.pdf,moscowcoop0003
Community News February 2000,Moscow Food Co-op,"London, Bill; Harris, Therese",,"Nelson, Nancy","Perez, Tanya","Gale, Jim; Hermanson, Jim; Knowles, Mary Jo; Ogle, Nick; Pengilly, Mimi; Peyer, Suzanne; Pingree, Al; Vaughan, Pat",2000-02,,,newsletters; cooperatives (business enterprises); automatic doors; boards of directors,"221 East Third Street, Moscow Idaho",46.73203791,-116.9990522,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-2000feb,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/3,3,198.pdf,/moscowcoop/image/198.pdf,moscowcoop0004
Community News December 1994,Moscow Food Co-op,"Solan, Alan Jay",,,"Cantrell, Kim","Harvey, Jeannie; Adams, Anne; Cunningham, Erika; Holmes, Evan; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Strand, Eva",1994-12,,,newsletters; cooperatives (business enterprises); billboards (site elements); cinnamomum (genus),"310 West Third Street, Moscow Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-1994dec,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/4,4,156.pdf,/moscowcoop/image/156.pdf,moscowcoop0005
Newsletter May 1986,Moscow Food Co-op,"London, Bill",,,"Parks, Rose Terry",,1986-05,,,newsletters; cooperatives (business enterprises); insurance; cheese,"314 South Washington Street, Moscow Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",newsletter_1986may,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/5,5,280.pdf,/moscowcoop/image/280.pdf,moscowcoop0006
Community News February 2010,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Neese, Dena; Macfarlane, Gary; Wilkinson, Donal; Norden, Chris; Kuhle, Andrika",2010-02,,,newsletters; cooperatives (business enterprises); donation boxes; boards of directors; administrative reports,121 East Fifth Street,46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-2010feb,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/6,6,204.pdf,/moscowcoop/image/204.pdf,moscowcoop0007
Community News April 1995,Moscow Food Co-op,"London, Bill",,,"Cantrell, Kim","Harvey, Jeannie; Cunningham, Erika; Gaul, Tom; Holmes, Evan; Pittinger, Dean; Reich, Vicki; Rosenthal, Mare; Stannard, Sandy; Strand, Eva",1995-04,,,newsletters; cooperatives (business enterprises); guidelines; sexuality,"310 West Third Street, Moscow Idaho",46.7325657,-117.0068186,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-1995apr,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/7,7,61.pdf,/moscowcoop/image/61.pdf,moscowcoop0008
Newsletter October 1985,Moscow Food Co-op,"London, Bill",,,"Parks, Rose Terry",,1985-10,,,newsletters; cooperatives (business enterprises); wholesalers; electrical systems,"314 South Washington Street, Moscow Idaho",46.7318566,-116.999742,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",newsletter_1985oct,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/8,8,84.pdf,/moscowcoop/image/84.pdf,moscowcoop0009
Community News March 2008,Moscow Food Co-op,"London, Bill","Hall, David","Rate, Lucas","Prusynski, Megan","Vincent, Kimberly; Beck, Bill; Wilkinson, Donal; Ryan, Kathleen; Thompson, Joe; Macfarlane, Gary; Caudill, Chris",2008-03,,,newsletters; cooperatives (business enterprises); citrus fruit; farmers' markets,121 East Fifth Street,46.73065303,-117.0002235,"Day-NW Oversize HD3284.N48, University of Idaho Special Collections & Archives",communitynews-2008mar,text,newsletter,application/pdf,Moscow Food Co-Op Digital Collection,University of Idaho Library Special Collections,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/moscowcoop/id/9,9,17.pdf,/moscowcoop/image/17.pdf,moscowcoop0010
