title,description,date,date is approximate,subject,latitude,longitude,digital collection,source,donor,box number,identifier,rights,standardized rights,format original,type,format,cdmid,contentdm file name,objectid
Three women at Stonebraker Ranch,Three women wearing hats stand on the porch of the ranch surrounded by three dogs. A clothesline with laundry blows in the wind.,8/20/1928,,exterior views; log cabins; dogs; women; ranch houses;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 1",26-N01,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3.5x6 black and white film negative,Image;StillImage,image/jpg,124,125.jp2,stonebraker124
Horseback ride in the snow [01],Three men and one woman ride horses through a snowy meadow.,1927,yes,winter; snow; pack baskets; horses; women;,45.150691,-115.422928,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 3",26-N03,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,125,126.jp2,stonebraker125
Golda Stonebraker with Zenith airplane [01],Golda holds a dog by the collar while standing near the airplane at the Stonebraker Ranch in the Chamberlain Basin.,9/28/1931,,airplanes; dogs; women;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 4",26-N04,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,126,127.jp2,stonebraker126
Airplane at Stonebraker Ranch [01],An airplane sits in front of the Stonebraker homestead. A badger can be seen in the foreground of the photograph.,8/20/1928,,airplanes; log cabins; badgers;,45.372287,-115.199311,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 2",26-N02,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.5x3 black and white negative,Image;StillImage,image/jpg,127,128.jp2,stonebraker127
Camping near Thunder Mountain [01],Possibly Golda Stonebraker (left) and a man stand near a tent campsite with two dogs nearby. A couple stands at the campsite with a dog.,1928,yes,camp sites; tents; dogs; women; camping;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 5",26-N06,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,128,129.jp2,stonebraker128
"Village of Roosevelt, Idaho [01]",A view of the mining town of Roosevelt near Thunder Mountain during the height of the gold rush nearby. Wooden buildings line the street.,1902,yes,log cabins; wooden buildings; exterior views; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 46",26-P007,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpg,129,130.jp2,stonebraker129
"Village of Roosevelt, Idaho [02]",Village of Roosevelt near Thunder Mountain as it looked at the height of the gold rush. A pack train walks down the street with wooden buildings in the background.,1902,yes,log cabins; wooden buildings; exterior views; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 47",26-P008,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,130,131.jp2,stonebraker130
Man with rifle,A man holds a rifle in front of a pack train in the forest.,1902,yes,horses; forests; mules; rifles;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 45",26-P006,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,131,132.jp2,stonebraker131
Roosevelt landslide and flood [01],Rising waters of what became Roosevelt Lake near the head of Monumental Creek slowly inundating the town's structures.,1909,yes,landslides; floods; log cabins; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 48",26-P009,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpg,132,133.jp2,stonebraker132
Roosevelt landslide and flood [02],"Rising waters of Monumental Creek slowly inundating the mining town of Roosevelt, Idaho.",1909,yes,landslides; floods; log cabins; mining towns;,44.966538,-115.172905,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 49",26-P010,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x4.25 black and white print,Image;StillImage,image/jpg,133,134.jp2,stonebraker133
