title,description,authors,date,subject,publisher,identifier,rights,rightsstatement,document type,type,format digital,language,full text,filename,OCLC number,date created,date modified,reference url,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Fuel Bed Response to Vegetation Treatments in Juniper and Cheatgrass Invaded Sagebrush  Steppe: and Comparisons of Fuel Load Data Collected at Two Spatial Scales,"Thesis by Chris Bernau concerning Fire, Invasive Plants, Ecology and other subjects",Chris Bernau,2012,Fire;Invasive Plants;Ecology,University of Idaho,Bernau_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/0,0,1.pdf,/rangecoll/image/1.pdf,rangecoll0
"The Influence of Leaf Pigments, Phenology, and Solar Radiation Regime on Remotely Sensed Estimates of Photosynthetic Efficiency and Photosynthetic Potential, Canopy Photosynthesis and Net Ecosystem Exchange","Dissertation  by Steven Garrity concerning Remote Sensing, Ecology and other subjects",Steven Garrity,2010,Remote Sensing;Ecology,University of Idaho,Garrity_2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/1,1,10.pdf,/rangecoll/image/10.pdf,rangecoll1
The Effects of Targeted Grazing of Yellow Starthistle by Domestic Goats in Northern Idaho and An Examination of Seed Survival in the Ruminant Digestive Tract,"Thesis by Brianna Goehring concerning Livestock, Grazing, Invasive Plants and other subjects",Brianna Goehring,2009,Livestock;Grazing;Invasive Plants,University of Idaho,Goering_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/2,2,11.pdf,/rangecoll/image/11.pdf,rangecoll2
Canyon Grassland Vegetation Changes Following the Maloney Creek Wildfire,"Thesis by Corey Gucker concerning Fire, Ecology and other subjects",Corey Gucker,2004,Fire;Ecology,University of Idaho,Gucker_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/3,3,12.pdf,/rangecoll/image/12.pdf,rangecoll3
Secondary Fire Effects on Symphoricarpos albus-Rosa spp. Plant Association in the Canyon Grasslands of North Central Idaho,"Thesis by Brenda Guettler concerning Plant Communities, Fire, Ecology and other subjects",Brenda Guettler,2007,Plant Communities;Fire;Ecology,University of Idaho,Guettler_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/4,4,13.pdf,/rangecoll/image/13.pdf,rangecoll4
Developing Prescription Grazing Guidelines for Controlling Spotted Knapweed with Sheep,"Thesis by Michael Hale concerning Grazing, Monitoring, Invasive Plants and other subjects",Michael Hale,2002,Grazing;Monitoring;Invasive Plants,University of Idaho,Hale_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/5,5,14.pdf,/rangecoll/image/14.pdf,rangecoll5
Potential Uses of Spatial Technologies in Rangeland Management,"Thesis by Amanda Hancock concerning Rangeland Management, Remote Sensing and other subjects",Amanda Hancock,2005,Rangeland Management;Remote Sensing,University of Idaho,Hancock_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/6,6,15.pdf,/rangecoll/image/15.pdf,rangecoll6
A Rangeland Education Program for Idaho's Classrooms,"Thesis by Juley Hankins concerning Teachers, Education, Rangeland Management and other subjects",Juley Hankins,2002,Teachers;Education;Rangeland Management,University of Idaho,Hankins_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/7,7,16.pdf,/rangecoll/image/16.pdf,rangecoll7
The Toxicity of Plants in Equines: A Modern Three-Point Approach to Disseminating Information,"Website by Genyce Hanson concerning Toxic Plants, Education, Livestock and other subjects",Genyce Hanson,2008,Toxic Plants;Education;Livestock,University of Idaho,Hanson_2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Website,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/8,8,17.pdf,/rangecoll/image/17.pdf,rangecoll8
"Wyoming Big Sagebrush: The Effect of Chemical Mechanical, and Prescribed Fire on Vegetation Age Class and Diversity in the Wyoming Basin","Thesis by Shannon Hatch concerning Fire, Plant Communities and other subjects",Shannon Hatch,2008,Fire;Plant Communities,University of Idaho,Hatch_2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/9,9,18.pdf,/rangecoll/image/18.pdf,rangecoll9
