title,description,date,date_is_approximate,subject,campus_event,campus_organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format_original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Alpha Chi Omega House [01],"Alpha Chi Omega house on 709 Elm Street, prior to remodeling.",1933,yes,sororities; sorority houses,Greek Life,Alpha Chi Omega,46.728661,-117.008402,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/0,0,1.jp2,/pg2/image/1.jp2,pg20
Alpha Tau Omega House [05],Alpha Tau Omega house on the northwest corner of Deakin and Idaho Streets.,1971,yes,fraternities; fraternity houses,Greek Life,Alpha Tau Omega,46.727975,-117.007075,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1,1,10.jp2,/pg2/image/10.jp2,pg21
Alpha Tau Omega House [06],"Students sit around the living room/parlor of the Alpha Tau Omega house, located on the northwest corner of Deakin and Idaho Streets.",1935,yes,fraternities; fraternity houses; students; men,Greek Life,Alpha Tau Omega,46.727975,-117.007095,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2,2,11.jp2,/pg2/image/11.jp2,pg22
Beta Theta Pi House [01],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, after completion.",1926,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728007,-117.008472,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/3,3,12.jp2,/pg2/image/12.jp2,pg23
Beta Theta Pi House [02],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, after completion.",1926,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728195,-117.008677,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/4,4,13.jp2,/pg2/image/13.jp2,pg24
Beta Theta Pi House [03],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1930,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728015,-117.008747,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/5,5,14.jp2,/pg2/image/14.jp2,pg25
Beta Theta Pi House [04],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1949,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728075,-117.008759,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/6,6,15.jp2,/pg2/image/15.jp2,pg26
Beta Theta Pi House [06],"Interior view of the living room in the Beta Theta Pi house, which is located on the northwest corner of Idaho and Elm Streets.",1935,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728199,-117.008642,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-008,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/7,7,16.jp2,/pg2/image/16.jp2,pg27
Beta Theta Pi House [05],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1949,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728082,-117.008648,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/8,8,17.jp2,/pg2/image/17.jp2,pg28
Beta Theta Pi House [07],"Interior view of the den in the Beta Theta Pi house, which is located on the northwest corner of Idaho and Elm Streets.",1935,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.72812,-117.008491,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-009,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/9,9,18.jp2,/pg2/image/18.jp2,pg29
