title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,filename,oclc_number,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
A Demand System Analysis With Emphasis On Container Size Of Fluid Milk,"Stockton, Matthew C.",2005-05,"A Censor Corrected Almost Ideal Demand System (CCAIDS) is used to study the price quantity relationships between white milk, carbonated soft drinks, bottled water, and fruit juice for various container sizes of each.",Livestock Production/Industries; Demand and Price Analysis; Research Methods/ Statistical Methods,Include individual industries including milk; cost benefit; Impact analysis,"University of Idaho, College of Agricultural and Life Sciences, Department of Agricultural Economics and Rural Sociology",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 05-01,87,aers05-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/0,0,37.pdf,/agecon/image/37.pdf,aers001
Implementing The Strategic Planning Process-A Study Of Pnw Agricultural Cooperatives,"Foltz, John; Feist, Tracey",1996-05,"Corporate America is continually planning. Businesses plan new strategies to capture market share, they analyze the importance of planning for a budget increase or perhaps they work towards increasing their research function. No matter how you look at it, planning is an important element for management to employ. In effect, planning provides the ways and means to prepare for change.",Farm Management; Community/Rural/Urban Development; Agribusiness,Farm corporations; regional development; decision-making,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 96-02,40,aers96-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/1,1,131.pdf,/agecon/image/131.pdf,aers002
"A To Z Retained Ownership, Inc. 2000 Year-End Summary",University of Idaho Cooperative Extension System,2000,The primary goal of this educational program is to provide information to cow-calf producers on how their cattle perform through the feeding and carcass grading phases. This report presents the results of the eighth year of the retained ownership program.,Agribusiness ; Livestock Production/Industries; Productivity Analysis,cooperatives; cattle; agricultural productivity,University of Idaho Cooperative Extension System,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 00-08,35,aees00-08,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/2,2,19.pdf,/agecon/image/19.pdf,aers003
"Economic Analysis Of Plans To Further Utilize Local Geothermal Resources In Lava Hot Springs, Idaho","Widner, Lindy; Rafferty, Kevin; Peterson, Steven; Nelson, James R.",2003-11-03,Much of the economic base of the community of Lava Hot Springs is associated with tourism. This tourism is tied to year-round spa activities based on local geothermal resources.,Resource /Energy Economics and Policy; Research Methods/ Statistical Methods; Community/Rural/Urban Development; Public Economics,renewable/non-renewable; natural resources; Impact analysis; regional economics; public finance,"The U.S. Department of Energy through the Idaho State Department of Water Resources-Energy Division, U.S. Economic Development Administration; University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-12,34,aees03-12,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/3,3,382.pdf,/agecon/image/382.pdf,aers004
Winter 2003 Idaho Commodity Outlook,"Patterson, Paul; Gray, Wilson",2003-01,The old marketing adage that 'the cure for high prices is high prices and the cure for low prices is low prices' certainly proved itself this past year in the dry bean markets.,Community/Rural/Urban Development; Crop Production/Industries; Community/Rural/Urban Development; Livestock Production/Industries,regional economics; Includes individual crops/industries; regional economics; Include individual industries including milk,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-01,70,aees03-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/4,4,198.pdf,/agecon/image/198.pdf,aers005
January 2000 Idaho Agricultural Outlook,"Rimbey, Neil R.; Patterson, Paul E.; Meyer, Neil L.; Gray, C. Wilson",2000-01,"This report will contain data on Hay Stocks on Farms for Idaho and other states, as of December 1, 1999.",Industrial Organization; Agribusiness ; Crop Production/Industries; Demand and Price Analysis,market economy; agricultural industries; Includes individual crops/industries; supply and demand,Department of Agricultural Economics and Rural Sociology University of Idaho,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 00-03,46,aees00-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/5,5,156.pdf,/agecon/image/156.pdf,aers006
Alternative U.S. Agricultural Policies Implications For Idaho Agriculture,"Meyer, Neil; Smathers, Robert",1990-09,"In the late 1800's, Idaho's economy was devoted mostly to mining and livestock. Demand from the mines and the 'free' forage on public lands encouraged large ranches and itinerant herds of cattle and sheep' Today, agriculture in Idaho has become one of the state's largest industries.",Agricultural and Food Policy; Research Methods/ Statistical Methods; Community/Rural/Urban Development; Production Economics,Agricultural policy; Impact analysis; Regional economics; general agricultural production,University of Idaho,Department Ag. Econ. and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 90-17,27,aees90-17,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/6,6,280.pdf,/agecon/image/280.pdf,aers007
"A Fiscal Impact Model For Teton County, Idaho: Coping With Growth","Cooke, Stephen",1997-03-24,"Different trends in Teton County, Idaho.",Community/Rural/Urban Development; Public Economics; Research Methods/ Statistical Methods,regional economics; fiscal; tax; models,,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 97-01,78,aers97-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/7,7,204.pdf,/agecon/image/204.pdf,aers008
"Summary Statistics For A Social Survey And Selected Other Data For Clark County, Idaho","Harp, Aaron",1998-06-18,Data from various sources have been used over the past 3 years for research and cooperative extension work in Clark County. The results of the social survey conducted in 1995 are presented here in the form of frequencies.,Research Methods/ Statistical Methods; Community/Rural/Urban Development; Consumer/Household Economics,survey structure; regional development; panel data; Consumer economics,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-08,22,aees98-08,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/8,8,61.pdf,/agecon/image/61.pdf,aers009
Management Implications For Individual Idaho Wheat Growers,"Prigge, G. Ray",1975,"My topic for today is 'Management Implications for Individual Idaho Wheat Growers'. Dr. Schermerhorn has discussed the future environment that is likely to be faced by Idaho producers and in so doing, has discussed the broader industry-wide implications of various trends which we are now observing in agriculture.",Research Methods/ Statistical Methods; Crop Production/Industries; Marketing; Demand and Price Analysis,Impact analysis; Includes individual crops/industries; marketing; cost benefit,,Department of Agricultural Economics,Agricultural Economic Series,Agricultural Economic Series no. 176,9,aes176,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/9,9,84.pdf,/agecon/image/84.pdf,aers010
