title,creator,description,subject,publisher,date,date is approximate,location,lat long,type,format,language,rights,rights (standardized),filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Some Lived Some Died, It Was Understood","Calnon, Mark",Mark Calnon's memoir being a POW in WWII.,Memoir of POW experience,,1995,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/0,0,1.pdf,/calnon/image/1.pdf,calnon0
Calnon 95th Birthday,"Calnon, Mark",Photograph of Calnon on his 95th birthday,Photograph,,2013-08-01,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/1,1,10.jp2,/calnon/image/10.jp2,calnon1
B17 Exterior Photo 4,"Calnon, Mark",Photograph of the exterior of exhibition B20,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/2,2,11.jp2,/calnon/image/11.jp2,calnon2
Calnon Letter to Crew,"Calnon, Mark",Letter to surviving crew with reports.,Scan of Letter,,1992-08-05,,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/3,3,12.pdf,/calnon/image/12.pdf,calnon3
B17 Exterior Photo 5,"Calnon, Mark",Photograph of the exterior of exhibition B21,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/4,4,13.jp2,/calnon/image/13.jp2,calnon4
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/5,5,14.jp2,/calnon/image/14.jp2,calnon5
B17 Bomb Bay,"Calnon, Mark",Photograph of empty bomb bay in a exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/6,6,15.jp2,/calnon/image/15.jp2,calnon6
B17 Gun Seat,"Calnon, Mark",Photograph of B17 Gun Seat in exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/7,7,16.jp2,/calnon/image/16.jp2,calnon7
Calnon 384th Reunion,"Calnon, Mark",Photograph of Calnon's Bomber Group years after the war.,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/8,8,17.jp2,/calnon/image/17.jp2,calnon8
B17 Interior,"Calnon, Mark",Photograph of the interior of B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/9,9,18.jp2,/calnon/image/18.jp2,calnon9
