title,creator,interviewee,date,description,subject,interviewer,residence,birth year,family origin,occupation,subject (lcsh),subject (lctgm),location depicted,region,source,original collection,publisher - digital,holding institution,ordering information,format original,format,type,identifier,date digital,language,web site,rights,rightsstatment,digital specifications,filename,oclc number,date created,date modified,cdm_url,cdmid,collectionid,contentdm file name,contentdm file path,objectid,archiveswest_fa
History of the 1910 Forest Fires in Idaho and Western Montana,Elers Koch,,1942,"A history of the 1910 forest fire written in 1942 by Elers Koch, National Forest Supervisor of the Lolo Forest.",fires; national forests; history,,,,,,"Koch, Elers, 1880-1954",fires;,United States--Idaho--Shoshone County--Wallace,Wallace,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",25 page report,application/pdf,Text,Koch1910FireHistory,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/25,25,bigburn,82.cpd,/bigburn/supp/25/index.pdf,bigburn00,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Correspondence [01]",Joanna Sinclair,,1910-08-31,"Clearwater Fire Protective Association. Letter from the office of Ben E. Bush to Mr. Day, drafted by acting secretary Joanna Sinclair.",fires; Clearwater Fire Protective Association,,,,,,Manuscript Group 5381; Forest fires;,fires;,United States--Idaho--Clearwater County--Orofino,Orofino,"MG 5381, Jerome Day Legislative papers, 1909-1910, University of Idaho Library Special Collections and Archives","Jerome Day Legislative papers, 1909-1910",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8.5x11 letter,application/pdf,Text,MG5381-1,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/28,28,bigburn,85.cpd,/bigburn/supp/28/index.pdf,bigburn01,https://archiveswest.orbiscascade.org/ark:80444/xv993000
"Forest Fire, 1910 - Correspondence [02]",Stanley A. Easton,,1910-08-22,"Managers letters, Easton to Bradley. Letter detailing the Wallace area fire of 1910.",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8.5x11 letter,application/pdf,Text,MG367-10-116c,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/33,33,bigburn,90.cpd,/bigburn/supp/33/index.pdf,bigburn02,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [01]",Stanley A. Easton,,1910-08-21,"Managers correspondence about Wallace area fire, Easton to Bradley. Telegram, August 21, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116a,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/35,35,bigburn,92.cpd,/bigburn/supp/35/index.pdf,bigburn03,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [02]",Stanley A. Easton,,1910-08-22,"Managers correspondence about Wallace area fire, Easton to Bradley. Telegram, August 21, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116i,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/37,37,bigburn,94.cpd,/bigburn/supp/37/index.pdf,bigburn04,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [03]",Stanley A. Easton,,1910-08-21,"Managers correspondence about Wallace area fire, Easton to Bradley. Telegram, August 21, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116b,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/39,39,bigburn,96.cpd,/bigburn/supp/39/index.pdf,bigburn05,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [04]",F. W. Bradley,,1910-08-22,"Managers correspondence about Wallace area fire, Bradley to Easton. Telegram, August 22, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116g,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/41,41,bigburn,98.cpd,/bigburn/supp/41/index.pdf,bigburn06,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [05]",Stanley A. Easton,,1910-08-22,"Managers correspondence about Wallace area fire, Easton to Bradley. Telegram, August 21, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116h,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/43,43,bigburn,100.cpd,/bigburn/supp/43/index.pdf,bigburn07,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Forest Fire, 1910 - Telegram [06]",Stanley A. Easton,,1910-08-23,"Managers correspondence about Wallace area fire, Easton to Bradley. Telegram, August 23-24, 1910",fires;  Bunker Hill Company Records;,,,,,,Bunker Hill Company Records 1887-1984 -- Manuscript Group; Forest fires;,fires;,United States--Idaho--Shoshone County--Wardner,Wardner,"MG 367, Bunker Hill Company records, 1887-1984, University of Idaho Library Special Collections and Archives","Bunker Hill Company records, 1887-1984",University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x5 telegram,application/pdf,Text,MG367-10-116j,2011,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2015-08-27,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/45,45,bigburn,102.cpd,/bigburn/supp/45/index.pdf,bigburn08,https://archiveswest.orbiscascade.org/ark:80444/xv65328
"Trail crew cutting out burned timber, Little N. Fork, 1910 forest fire ","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910,"Image labeled ""Trail crew cutting out burned timber, Little N. Fork"" taken following forest fire of 1910","fires;  groups of people;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires;",debris;,United States--Idaho--Shoshone County,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-27831c,2009,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,300 dpi grayscale with watermark (displayed). Archival master is a TIFF.,,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/46,46,bigburn,1.jp2,/bigburn/image/1.jp2,bigburn09,https://archiveswest.orbiscascade.org/ark:80444/xv407875
