title,description,date,date is approximate,subject,campus location,latitude,longitude,donor,publisher - digital,source,identifier,id number,photo number,building number,rights,rightsstatement,ordering information,format original,type,format,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,location_identifier
"University farms, panoramic view, University of Idaho. [1-1]",1939 panoramic photograph of University farms.  Greenhouses are visible in the foreground.  [PG1_001-01],1939,y,streets; campuses; farms; panoramic view; barns;,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-01,18992,1,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",5x7 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1059,1059,1060.jp2,/pg1/image/1060.jp2,campus00001,universityfarms
"University farms, panoramic view, University of Idaho. [1-10]",1933 panoramic photograph of University farms.  The view is looking south the back side of the greenhouses in the center of photo.  [PG1_001-10],1933,,farms; panoramic view,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-10,19001,10,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",5x7 black and white negative,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1089,1089,1090.jp2,/pg1/image/1090.jp2,campus00002,universityfarms
"University farms, panoramic view, University of Idaho. [1-11]",1945 panoramic photograph of University farms.  Northeast view of the greenhouses.  [PG1_001-11],1945,,streets; houses; farms; panoramic view,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-11,19002,11,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",4x5 black and white negative,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1090,1090,1091.jp2,/pg1/image/1091.jp2,campus00003,universityfarms
"University farms, panoramic view, University of Idaho. [1-12]",1945 panoramic photograph of University farms.  Greenhouses on the right. [PG1_001-12],1945,,streets; farms; houses; panoramic view,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-12,19003,12,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",4x5 black and white negative,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1037,1037,1038.jp2,/pg1/image/1038.jp2,campus00004,universityfarms
"University farms, panoramic view, University of Idaho. [1-13]",1917 panoramic photograph of University farms. Haystacks in the foreground. Donor: Hodgins.  [PG1_001-13],1917,y,farms; panoramic view; barns; haystacks;,University farms,46.729654,-117.024232,Hodgins,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-13,19004,13,1,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",6x10 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1038,1038,1039.jp2,/pg1/image/1039.jp2,campus00005,universityfarms
"University farms, panoramic view, University of Idaho. [1-2]",1936 panoramic photograph of University farms' pig houses.  [PG1_001-02],1936,y,farms; barns; panoramic view,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-02,18993,2,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",5x7 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1066,1066,1067.jp2,/pg1/image/1067.jp2,campus00006,universityfarms
"University farms, panoramic view, University of Idaho. View from near Brink Hall. [1-3]",1941 panoramic photograph of University farms. View is from the east near Brink Hall.  [PG1_001-03],1941,,streets; campuses; farms; panoramic view;,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-03,18994,3,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1067,1067,1068.jp2,/pg1/image/1068.jp2,campus00007,universityfarms
"University farms, panoramic view, University of Idaho. View over Brink Hall. [1-4]",1941 panoramic photograph of University farms. View looking east with Brink Hall in the foreground.  [PG1_001-04]`,1941,y,streets; campuses; farms; panoramic view,University farms,46.729654,-117.024232,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-04,18995,4,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",4x5 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1080,1080,1081.jp2,/pg1/image/1081.jp2,campus00008,universityfarms
"University farms, panoramic view, University of Idaho. View over Brink Hall. [1-5]",1940 panoramic photograph of University farms. View over Brink Hall. Donor: Publications Dept.  [PG1_001-05],1940,y,streets; campuses; farms; panoramic view,University farms,46.729654,-117.024232,Publications Dept.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-05,18996,5,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1082,1082,1083.jp2,/pg1/image/1083.jp2,campus00009,universityfarms
"University farms, panoramic view, University of Idaho. [1-6]",1940 panoramic photograph of University farms. Donor: Publications Dept.  [PG1_001-06],1940,y,farms; panoramic view,University farms,46.729654,-117.024232,Publications Dept.,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","University of Idaho Campus Photographs, PG 1, University of Idaho Library Special Collections and Archives",PG1_001-06,18997,6,1,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices email libspec@uidaho.edu",8x10 black and white print,Image;StillImage,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg1/id/1083,1083,1084.jp2,/pg1/image/1084.jp2,campus00010,universityfarms
