title,creator,date,date is approximate?,description,subject,location,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid
Scenes from a CCC camp,"Swan, K.D.",1930,,Four photographs showing scenes from a Civilian Conservation Corps camp.,national forests; CCC; Civilian Conservation Corps; people; camps; buildings; tents,French Creek;Idaho;United States,,,,NARA College Park; RG 95; GP Series; Box 68,278051,United States Forest Service,NARA0815DC101,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,0,archivalidaho0
"Orofino, Idaho","Chief, Militia Bureau",1936,,"Aerial image of Orofino, Idaho and Clearwater River.",cities; towns; aerial; buildings; rivers; buildings,Orofino;Idaho;United States,,46.47935,-116.25514,,,,NARA10StlPht45,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,1,archivalidaho1
"Johnson Flying Service, Trimotor Ford","Hockaday, J.M.",1954,,"Photo text: 'Sept. 1, 1954.'",planes; airports; air strips; landing strips; landing fields; people; national forests,Payette National Forest;Idaho;United States,,45.128427,-115.322963,,,United States Forest Service,Payette46,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,2,archivalidaho2
"Cutting a fire line, Graham Creek","Morris, W.W.",1910,yes,Photo text: 'Cutting our first fire line Graham Creek. (Picture of Prof. Kirkwood U. of Montana and Guard Fulkerth working on fire.)' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; fires; forest fires; fire fighting; fire line; people;  burns; big burn,Graham Creek;Idaho;United States,,47.650864,-116.08913,,,United States Forest Service,pic_2014-09-30_004831,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,3,archivalidaho3
CCC crew cleaning drain ditch near Marsing,P.B.,1935,,Note: This image is part of records by the Bureau of Reclamation associate with Boise projects.,Bureau of Reclamation; reservations; native americans; indians; people; farming; agriculture; irrigation,Marsing;Idaho;Unites States,,43.53814,-116.808364,NARA College Park; Still Photo Branch; RG 115; JC Boise Project; Box 27,,,NARA16DC219,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,4,archivalidaho4
"North-south highway, Salmon River Canyon",,1925,,"North-south highway, Salmon River Canyon",rivers; roads; highways; canyons; national forests,Payette National Forest;Idaho;United States; Lucille;Idaho;United States,,45.527864,-116.302951,,,United States Forest Service,Payette98,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,5,archivalidaho5
Homesteader Ned Bennett,,1906,yes,"A substantial biography of Ned Bennett is include with the image. A geographic note: A creek flowing into Lower Loon Creek was named Bennett after Mr. Bennett. However, at some point, Powder and Bennett Creeks' names were switched make Bennett Powder Creek and vice versa.",national forests; cabins; homesteads; homesteaders; pioneers; log; buildings; claims; people; portraits,Salmon-Challis National Forest;Idaho;United States,,44.761292,-114.810301,,,,Sal13Chal179,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,6,archivalidaho6
"O'Hara Ranger Station, man stands outside",,1920,,"O'Hara Ranger Station, man stands outside",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness,Nez Perce-Clearwater National Forest;Idaho;United States,,46.088404,-115.518644,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,49068A,United States Forest Service,R1EngrPics19a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,7,archivalidaho7
Yellowjacket Lake at base of Sugar Loaf Mountain,"Pearson, T.V.",1937,,Photo text: 'Sept. 1937.',national forests; lakes; mountains; peaks; points; landscapes,Salmon-Challis National Forest;Idaho;United States,,45.066779,-114.555243,,351226,United States Forest Service,IntermtnPics70,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,8,archivalidaho8
Big Creek Lake from Pearl Lake Pass,"McDonald, C.H.",1959,,Photo text: 'Big Creek Lake from Pearl Lake Pass - Looking N. to Idaho line - site of proposed Skyline Trail. Lake farmer reservoired - in Wilderness.' This image is part of a series recording trail work and outdoor education in the Bitterroot National Forest.,national forests; passes; groups; trails; lakes,Bitterroot National Forest;Montana;United States; Bitterroot National Forest;Idaho;United States,,46.492008,-114.363683,,,United States Forest Service,RG95JK5,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,9,archivalidaho9
"Irrigable lands near Starrahs Ferry, Idaho (Panoramic 1)",W.J.L.,1903,,Note: This image is part of records for Bureau of Reclamation projects.,Bureau of Reclamation; fields; agriculture; irrigation,Burley;Idaho;United States,,42.520124,-113.831947,NARA College Park; Still Photo Branch; RG 115 JO-Minidoka Project; Box 100,,,NARA16DC208,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,10,archivalidaho10
Lemhi River protective bank built by farmer,,1939,,Photo text: 'Oct. 1939.' This image is part of a Rivers and Harbors series.,flooding; floods; surveys; people,Lemhi County;Idaho;United States,,44.11715,-114.93161,NARA College Park; Still Photo Branch,562,,SalmonR14a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,11,archivalidaho11
Wilson and Harbor Lakes,"Prater, L.J.",1964,,Aerial image.,national forests; mountains; lakes; peaks; landscapes,Sawtooth National Forest;Idaho;United States,,45.141678,-114.592879,,510180,,Sal13Chal99,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,12,archivalidaho12
