objectid,identifier,title,description,creator,staff,relation,date,date is approximate,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,cdm_url,cdmid,contentdm file name,contentdm file path
womenscenter001,ug71_b11_f380-022,Dianne Milhollen flipping through papers,Dianne Milhollen flipping through a collection of papers.,,,,1970,yes,paper (fiber product); women; necklaces,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/0,0,37.jp2,/womenscenter/image/37.jp2
womenscenter002,ug71_b11_f379-019,Betsy Thomas and Michelle Ward by a filing cabinet,Betsy Thomas and Michelle Ward in the Women's Center office filing things into a filing cabinet. They're sitting on the floor and appear to be laughing about something.,,,,1980,yes,filing cabinets; women; document files,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/1,1,131.jp2,/womenscenter/image/131.jp2
womenscenter003,ug71_b11_f379-018,Virginia Wolf talking to Steve Thompson,Virginia (Ginny) Wolf talking with local reporter Steve Thompson about the early days of the Women's Center. They're sitting in the Women's Center.,,,,1990-05-04,,reporters (news); interviews; notes (documents),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/2,2,19.jp2,/womenscenter/image/19.jp2
womenscenter004,ug71_b11_f379-021,Woman sitting on a couch in the Women's Center,One person sitting on a couch in the Women's Center.,,,,1980,yes,couches (reclining furniture); books; women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/3,3,503.jp2,/womenscenter/image/503.jp2
womenscenter005,ug71_f364-1973may,Women's Center Newsletter No. 4,"The May 11, 1973 issue of the Women's Center Newsletter, titled ""Women's Center Newsletter No. 4.""",Women's Center,,,1973-05-11,,scientists; graduates; family life; politics,"Administration Building, University of Idaho, Moscow ID",46.725458,-117.010767,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/4,4,487.pdf,/womenscenter/image/487.pdf
womenscenter006,ug71_f364-1987mar,Women's Center March Programs 1987,"The March 1987 issue of the Women's Center Newsletter, titled ""Women's Center March Programs 1987.""",Women's Center,"Thomas, Betsy; Caster, Carolyn; Carlson, Cindy; Bressette, Vicki; Folk, Susan; Wolffe, Karen; Howell, MaryBeth",,1987-03,,cameras (photographic equipment); love (emotion); magic (occult science),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/5,5,510.pdf,/womenscenter/image/510.pdf
womenscenter007,ug71_b11_f381-025c,Bride and groom pose near a cake,Possibly a photograph of a bride and groom posing near a wedding cake.,,,,,,cake (food); wedding dresses; decorations (ornamental works),,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/6,6,382.jp2,/womenscenter/image/382.jp2
womenscenter008,ug71_b11_f380-017,Wilma Scott Heide holding up a fist,Wilma Scott Heide holding up a fist and speaking at WC brown bag.,,,,1970,yes,women; events (activities); wires,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/7,7,198.jp2,/womenscenter/image/198.jp2
womenscenter009,ug71_f365-1989mar,Women's Center March Programs 1989,"The March 1989 issue of the Women's Center Newsletter, titled ""Women's Center March Programs 1989.""",Women's Center,"Thomas, Betsy; Kuehne, Caroline; Ruby, Kathy; Davies, Heidi; Kornkven, Anne; Larson, Marigay; Pike, Joan; Soliz, Betty",,1989-03,,Latin American; art exhibitions; violence,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/8,8,156.pdf,/womenscenter/image/156.pdf
womenscenter010,ug71_b11_f381-035a,"Women's Center 25th Anniversary, circa 1997 [06]","Susan Palmer grabbing food from a buffet spread. Jill Anderson can be seen off-camera to the left in a white shirt and gray slacks. There is also a blackboard with part of a banner ""Happy..."" visible.",,,,,,food; tables (support furniture); women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/9,9,491.jp2,/womenscenter/image/491.jp2
