title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Alpha Chi Omega House [01],"Alpha Chi Omega house on 709 Elm Street, prior to remodeling.",1933,yes,sororities; sorority houses,Greek Life,Alpha Chi Omega,46.728661,-117.008402,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/0,0,1.jp2,/pg2/image/1.jp2,pg20
Alpha Tau Omega House [05],Alpha Tau Omega house on the northwest corner of Deakin and Idaho Streets.,1971,yes,fraternities; fraternity houses,Greek Life,Alpha Tau Omega,46.727975,-117.007075,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/1,1,10.jp2,/pg2/image/10.jp2,pg21
Alpha Tau Omega House [06],"Students sit around the living room/parlor of the Alpha Tau Omega house, located on the northwest corner of Deakin and Idaho Streets.",1935,yes,fraternities; fraternity houses; students; men,Greek Life,Alpha Tau Omega,46.727975,-117.007095,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",003-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/2,2,11.jp2,/pg2/image/11.jp2,pg22
Beta Theta Pi House [01],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, after completion.",1926,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728007,-117.008472,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/3,3,12.jp2,/pg2/image/12.jp2,pg23
Delta Gamma House [06],Delta Gamma house on the northeast corner of Idaho and Elm Streets.,1923,yes,sororities; sorority houses,Greek Life,Delta Gamma,46.72799,-117.008093,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",007-008,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x5.75 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/48,48,53.jp2,/pg2/image/53.jp2,pg248
Delta Tau Delta House [04],Delta Tau Delta's Spring Formal dance.,1936,yes,fraternities; students,Greek Life,Delta Tau Delta,46.728195,-117.00999,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",008-005,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/49,49,54.jp2,/pg2/image/54.jp2,pg249
Gamma Phi Beta House [01],Gamma Phi Beta house at 1038 Blake Avenue.,1935,yes,sororities; sorority houses,Greek Life,Gamma Phi Beta,46.725728,-117.00834,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",009-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/50,50,55.jp2,/pg2/image/55.jp2,pg250
Gamma Phi Beta House [02],Gamma Phi Beta house at 1038 Blake Avenue.,1935,yes,sororities; sorority houses,Greek Life,Gamma Phi Beta,46.725718,-117.00824,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",009-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/51,51,56.jp2,/pg2/image/56.jp2,pg251
Gamma Phi Beta House [03],Gamma Phi Beta house at 1038 Blake Avenue.,1935,yes,sororities; sorority houses,Greek Life,Gamma Phi Beta,46.725738,-117.00804,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",009-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/52,52,57.jp2,/pg2/image/57.jp2,pg252
Phi Gamma Delta House [05],Phi Gamma Delta house on the northwest corner of University Avenue and Elm Street.,1926,yes,fraternities; fraternity houses,Greek Life,Phi Gamma Delta,46.727077,-117.008701,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015-05,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/98,98,130.jp2,/pg2/image/130.jp2,pg298
