title,description,creator,date,date is approximate?,subject,subject (lcsh),location,location (lcsh),latitude,longitude,digital collection,publisher digital,source,identifier,rights,rightsstatement,ordering information,format original,type,format,language,digitization specifications,date digital,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
Bird's eye view of Moscow circa 1897 [01],Drawn by Augustus Koch. Accuracy of his work is unbelievable.,"Koch, Augustus, 1840-",1897,yes,bird's-eye views,Moscow (Idaho)--Aerial views,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732388,-117.000165,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-002,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/0,0,1.jp2,/ott/image/1.jp2,ott0
"Idaho Hotel, now the New Moter (sic) Hotel",Picture taken 1975. Located southeast corner of A and Main streets.,,1975,yes,buildings,Hotels--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.73443,-117.00124,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/1,1,10.jp2,/ott/image/10.jp2,ott1
Badger Store in Moscow,"The ""Badger Store"" owned by David & Ely occupied two rooms of the Spicer Block from 1898 to 1899 when they moved to the Dernham & Kaufmann Building. Spicer Block built in 1898, see date above door. Picture 1898.",,1898,yes,storefronts; buildings; department stores,"Stores, Retail--Idaho--Moscow",Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-093,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/2,2,100.jp2,/ott/image/100.jp2,ott2
"Spicer Block, circa 1946","The north two rooms of the Spicer Block as it looked in 1946, Davids' 50th anniversary. The ""Badger Store"" (David & Ely) occupied the two rooms at right of the coffee shop.",,1946,yes,buildings; cars,Automobiles--Idaho--Moscow; Coffee shops--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-094,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/3,3,101.jp2,/ott/image/101.jp2,ott3
"Spicer Block, showing The Badger Store","The 'Badger Store' was located in the two rooms at right of the Beneficial Loan room. The Spicer Block as it looked August 26, 1979.",,1979-08-26,,main streets;  buildings; stores,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-095,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/4,4,102.jp2,/ott/image/102.jp2,ott4
Looking north at the east side of Main Street from the middle of the block between Second and Third streets,"August 26, 1979 by Clifford M. Ott.","Ott, Clifford M.",1979-08-26,,main streets; buildings,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-096,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/5,5,103.jp2,/ott/image/103.jp2,ott5
Davids' mens' department about 1907,"Left to right: Earl David behind counter, B.T. Byrnes, Homer David, F.A. David in derby and Bill Lee, a Moscow attorney.",,1907,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/6,6,104.jp2,/ott/image/104.jp2,ott6
Davids Mens Department,Predates picture number 97 [90-2-097]. Homer Estes in front of counter only one identified.,,1907,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098a,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/7,7,105.jp2,/ott/image/105.jp2,ott7
Davids' womens' department,"No identification. Pictures 98A and 98B [90-2-098a, 90-2-098b] were copied from badly bleached 8 X 10'.",,1907,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-098b,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/8,8,106.jp2,/ott/image/106.jp2,ott8
Davids' mens' department in 1940,Davids' mens' department in 1940. Moscow.,,1940,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-099,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/9,9,107.jp2,/ott/image/107.jp2,ott9
