title,subject,photographer,date,date_is_approximate,description,subject_lctgm,location_old,location,source,Finding aid,digital_collection,holding_institution,format_original,format,type,identifier,datedigital,language,website,rights,rightsstatement,digitalspecifications,filename,oclcnumber,datecreated,datemodified,cdm_url,cdmid,contentdmfilename,contentdmfilepath,objectid,completed,
Cataract,waterfalls (natural bodies of water); nature photography,"Higgins, Robert, E.",1984-10-01,,"Shoshone Falls on the Snake River at Twin Falls, Idaho. Two people can be seen sitting on ledge across from falls. This was entered into the Columbia Council of Camera Clubs and received 2nd place in the competition.",Photographic prints,United States--Idaho--Twin Falls County--Twin Falls,"Twin Falls, Idaho","PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741822,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_001,2011-02-15,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/0,0,1.jp2,/higgins/image/1.jp2,higgins0,"Jan 23, 2023",Ariana Burns
Desert Barn,barns;deterioration;deserts;dirt roads; barnyard; agricultural buildings,"Higgins, Robert, E.",1984-04-11,,A dirt road leading up to a dilapidated barn surrounded by sagebrush and desert recieved a score of 23 at the Boise Camera Club competition.,Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741823,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_010,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/1,1,10.jp2,/higgins/image/10.jp2,higgins1,2/17/23,Ariana Burns
LaMoille Fence,rail fences;trees;bushes;mountains; cultural landscapes;,"Higgins, Robert, E.",1988-12-15,,"An overgrown fence and trees with a mountainous background, which was entered into the Boise Camera Club competition and received 3rd place.",Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741824,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_011,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/2,2,11.jp2,/higgins/image/11.jp2,higgins2,,
Bayhorse,trees;bushes;ghost towns;dirt roads;abandoned buildings;deterioration;valleys (landforms); cultural landscapes; ruins,"Higgins, Robert, E.",1989-11-14,,Light and shadow play off this remote ghost town. This image of falling down buildings and a road was entered into Boise Camera Club competition and received a score of 20.,Photographic prints,United States--Idaho--Custer County--Challis,"Bayhorse, Idaho","PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741825,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_012,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/3,3,12.jp2,/higgins/image/12.jp2,higgins3,,
Cascade,rapids;rivers;rocks (landforms); nature photography,"Higgins, Robert, E.",1993-04-17,,"Swirling water cascading over rocks was entered into Calgary Exhibition pictorial judging labels, PSA international, and The Great Western competitions.",Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741826,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_013,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/4,4,13.jp2,/higgins/image/13.jp2,higgins4,,
Red Fish Rapids,rapids;rivers;rocks (landforms); nature photography,"Higgins, Robert, E.",1998-10-09,,Rapids tumbling over rocks is the focus of this image that was entered into Boise Camera Club competition and received a score of 25.,Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741827,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_014,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/5,5,14.jp2,/higgins/image/14.jp2,higgins5,,
Split,wood (plant material);axes (tools),"Higgins, Robert, E.",1983-09-13,,The violence of a double-headed ax splitting wood was captured by this image and entered into The Photographic Society of America International Club Print Competition.,Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741828,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_015,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/6,6,15.jp2,/higgins/image/15.jp2,higgins6,,
Onion Harvest,allium (genus);farmers (people in agriculture);farms; farming;,"Higgins, Robert, E.",1993-12-01,,"A pleased-looking farmer shows off his onion crop. He is in the foreground of a field, surrounded by full bags of onioons. This image was entered into the Boise Camera Club competition and received a score of 22.",Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741829,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_016,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/7,7,16.jp2,/higgins/image/16.jp2,higgins7,,
Tea Garden,"Chinese (culture or style);restaurants;urban areas; chinatowns; lamps, neon","Higgins, Robert, E.",1984-12-11,,"A city-scene showing Fong's Chinese Restaurant and the Tea Garden building in Old China Town, Boise, Idaho, was entered into the Boise Camera Club competition and received a score of 21. On the corner of the building is a neon blade sign and a neon sign above the eave. ",Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741830,Robert E. Higgins Collection,University of Idaho Library,Color Photograph,image/jpeg,Image;StillImage,higgins_017,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/8,8,17.jp2,/higgins/image/17.jp2,higgins8,,
Lap Siding,barnboard;siding (material);wood (plant material),"Higgins, Robert, E.",1989-11-14,,Weathered wood makes for this interesting image that was entered into the Boise Camera Club competition and received a score of 20.,Photographic prints,United States--Idaho,Idaho,"PG 125, Collection on Robert E. Higgins, 1947-1997, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv741831,Robert E. Higgins Collection,University of Idaho Library,Black and White Photograph,image/jpeg,Image;StillImage,higgins_018,2011-02-17,eng,http://contentdm.lib.uidaho.edu/cdm4/browse.php?CISOROOT=/higgins,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Original is archival Tiff. Displayed is a reduced jpg.,,,2011-03-01,2018-04-20,http://digital.lib.uidaho.edu:80/cdm/ref/collection/higgins/id/9,9,18.jp2,/higgins/image/18.jp2,higgins9,,
