title,description,creator,date,date is approximate,subjects,relation,latitude,longitude,source,identifier,rightsstatement,rights,format original,type,format,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Joe and Lou Wells,"Joe and Lou Wells, pioneers of the Deary area. From Trees Grew Tall: 'Joe came from North Carolina with the Wells brothers, Frank and Crom, in 1889. He had been a slave, born in 1858, and freed by the Civil War. The Wells brothers took him as their ward and treated him like a brother. Joe loved them equally, and took their surname. When the Wells came West, Joe and his young wife, Lou, came along. '",,1900,yes,men; women; couples; miners; hats; dresses; boots; portraits;,"Latah County, Idaho",46.799474,-116.55881,John B. Miller,pg12-032,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",7x10 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/0,0,37.jp2,/treesgrewtall/image/37.jp2,trees0
The Bovill store and hotel,"The Bovill hotel and store. On the south (right) side of the store, the 'post office lean-to' has not yet been added; nor have the buildings been joined. At the extreeme left is the 'cottage'  where Lillian Fosberry was born. Behind it is the cabin where railway engineers were housed. An ice-house and other out-buildings stand behind the trees at the right. Photo was copied from a postcard bearing a postmark 1907.",,1905-03-21,,hotels; homesteads; cottages; cabins; ice-houses; trees; forests; fences;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-019,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6.5x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/1,1,131.jp2,/treesgrewtall/image/131.jp2,trees1
Brother and sister of the King',A photo of two large white pines with the caption 'Brother and sister of the King.' Copy of a photo in 'Potlatch Lumber Company' booklet.,,1911,yes,Pinus monticola; timber; trees; dry conifer forests; forests;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-164,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/2,2,19.jp2,/treesgrewtall/image/19.jp2,trees2
Caterpillar logging equipment,A crew using caterpillar logging equipment,,1910,yes,big wheels; treads; roller tractors; dollies; trucks; logs; timber; engineers; loggers; drivers; draft animals; horses;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-246,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/3,3,198.jp2,/treesgrewtall/image/198.jp2,trees3
"The Parker family and friends at Princeton, Idaho","The E.K. Parker family and friends at Princeton, Idaho around 1899. From left to right: unidentified woman, baby Marie, Mrs. Parker, E.K. Parker, and the Crumley family",,1899,yes,group portraits; family portraits; men; women; children; infants; mothers; husbands; wives; homesteads; settlers; picket fences; meadows; forests;,"Latah County, Idaho",46.913545,-116.83653,John B. Miller,pg12-004,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/4,4,156.jp2,/treesgrewtall/image/156.jp2,trees4
"Groh Brothers' General Store, Bovill, Idaho","In the Groh Brother's general store. School supplies are in the forward part at the right, and dry goods behind. Groceries occupy the left hand side. Roy Perry faces the counter; Tom Groh and Marie Zagelow are behind the counter.",,1920,yes,grocery stores; general stores; display cases; clerks; grocers; stationery; notebooks; flat caps;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-096,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",8x10 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/5,5,204.jp2,/treesgrewtall/image/204.jp2,trees5
"Cedar yard near Bovill, Idaho","Cedar yard near Bovill, Idaho. Beal's Butte is in the distance, left, and Abe's Knob is right of center.",,1935,,Cedrus deodora; lumberyards; timber; logs; engines; enginehouses; cabins; company towns;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-218,http://rightsstatements.org/vocab/InC-EDU/1.0/,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x8 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/6,6,61.jp2,/treesgrewtall/image/61.jp2,trees6
Log storage pond,"Log storage pond on the Potlatch River near Bovill, Idaho.",,1906,,ponds; sawmills; storage; logs; timber; dry conifer forests;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-157,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",7x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/7,7,84.jp2,/treesgrewtall/image/84.jp2,trees7
"Fawn adopted by a cow at Bovill, Idaho.'",A Fosberry cow pictured with an adopted fawn at Bovill.,,1900,yes,cowbells; cows; deer; fawns; Cervidae Odocoileus virginianus; Bovidae Bos taurus; forests; animal husbandry; animal portraits; domestic animals; wild animals;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-068,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/8,8,17.jp2,/treesgrewtall/image/17.jp2,trees8
Four-horse team pulling a sleigh load of logs,Sleigh of logs and four-horse team. Location not identified.,,1906,yes,sleighs; teams; draft animals; horses; logs; timber; chains; drivers; dry conifer forests;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-239,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/9,9,46.jp2,/treesgrewtall/image/46.jp2,trees9
"Construction of main street in Bovill, Idaho","Construction of the main street in Bovill. The building at left was probably first built as a store, but later housed the Major and Peters Barber Shop. The other structures are the frames of the E.K. Parker store and the Sherman House. Through the gap--later filled by other structures, from the Bovill Drug and Spokane Hotel down to the Grant and Giles store--are seen a Shay locomotive and tent. At right is a rod engine. Construction of the Parker store is dated by his daughter, Marie, as 1908.",,1908,yes,construction; dirt roads; steam locomotives; steam engines; storefronts; tents; railroads; trees; lumber;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-027,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4.5x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/10,10,132.jp2,/treesgrewtall/image/132.jp2,trees10
Jammer log loader and crew,A workcrew uses a jammer log loader,,1906,yes,cranes; loaders; lumberyards; logs; timber; loggers; cranemen; booms; steam engines; engine houses; jammers;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-245,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/11,11,183.jp2,/treesgrewtall/image/183.jp2,trees11
"Building a wooden sidewalk in Troy, Idaho","Workers build a wooden sidewalk in Troy, Idaho. The school is in the background.",,1900,yes,construction; dirt roads; wagons; power lines; schoolhouses; steeples; churches; boardwalks; men; dogs; cattle; fences;,"Latah County, Idaho",46.868217,-116.412916,John B. Miller,pg12-045,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4x6 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/12,12,161.jp2,/treesgrewtall/image/161.jp2,trees12
Loading logs by jammer,Loading logs by jammer. People in photograph are unidentified.,,1910,yes,donkey engines; steam engines; engine houses; boilers; cables; winches; engineers; loggers; timber; dry conifer forsests; flat cars; logs; timber;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-179,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/13,13,103.jp2,/treesgrewtall/image/103.jp2,trees13
