title,description,creator,recipient,point of origin,date,date is approximate,subject,relation,latitude,longitude,digital collection,contributing institution,source,identifier,rights,rightsstatement,format original,type,digital format,language,file name,OCLC number,date created,date modified,reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Passenger Car Approaching,"A photograph of a man driving a passenger car. The photo is taken headon, showing the car approaching. Pictured on the car are two men, one dressed in a professional suit, another in clothing that appears to suit that of a railroad worker.","Cash, Earl",,,1905-04-13,,passenger cars (railroad cars); railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_005,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/0,0,37.jp2,/riegger/image/37.jp2,riegger0
Steam Driven Winch,Steam driven winch on the edge of the Winchester Lake.,Winchester Museum,,,,,lakes; logs; winches; horses; workers;,,46.23958325,-116.6234488,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_009,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/1,1,131.jp2,/riegger/image/131.jp2,riegger1
Freight Train in the Snow,A color photograpgh of a freight train going down the tracks in some snowy woods.,Don Wayt,,,,,freight trains; railroads; trees;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_022,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/2,2,19.jp2,/riegger/image/19.jp2,riegger2
Freight Car off the Tracks,A color photograpgh of what appears to be a runaway freight car covered in snow.,Don Wayt,,,,,freight cars; logs; trees;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_021a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/3,3,503.jp2,/riegger/image/503.jp2,riegger3
Threshing Crew,Pictured is a threshing crew and equipment on the Camas Prairie,Winchester Museum,,,1915,,horses; wheat; threshing crews; carts;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_014,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/4,4,487.jp2,/riegger/image/487.jp2,riegger4
Construction On Bridge 38,A photograph of construction workers taking a break while sitting on a suspended metal bar intended for the construction of bridge 38 of the Camas Prairie Railroad.,"Cash, Earl",,,1905-04-25,,construction (assembling); freight trains; railroads (infrastructure);,,46.151777,-116.390602,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_010,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/5,5,382.jp2,/riegger/image/382.jp2,riegger5
Snowy Landscape,"A color photograpgh of a snowy landscape, assumed to have been taken from a train.",Don Wayt,,,,,snows; trains;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_018,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/6,6,198.jp2,/riegger/image/198.jp2,riegger6
Grangeville Local With Extra Load [2],A photograph of Grangeville Local loaded down with extra rail box borders leaving Forebay. The R-Box cars to be stored on the Nezperce Railroad.,"Morefield, Jim",,,1981-04-01,,color photographs; freight trains;  railroads (infrastructure);,,46.42308,-116.959126,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F24_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/7,7,156.jp2,/riegger/image/156.jp2,riegger7
Granite Rock Slide,A photograph of the damage to newly laid railroad tracks in the aftermath of a granite rock slide.,"Cash, Earl",,,1905,yes,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_025,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/8,8,491.jp2,/riegger/image/491.jp2,riegger8
"Letter from Wally Meckstroth to Hal Riegger, November 17, 1983","Correspondence between Wally Meckstroth and Hal Riegger providing information about a list of photographs relating to the Nez Perce Railroad. There is little information about the photographs, as it was difficult to track down individuals knowing information, as they were all aged and dying.","Meckstroth, Wally","Riegger, Hal",United States; Idaho;,1983-11-17,,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/9,9,441.pdf,/riegger/image/441.pdf,riegger9
