title,description,subject,date,date is approximate,source,latitude,longitude,subject (lcsh),format-original,donor,identifier,format,language,type,rights,rights (standardized),date created,filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,object-id,reference_url
"Five unidentified men [01]","Portrait of five unidentified men.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 001","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/314","314","","","","http://localhost:4000/digital/iddings/items/spec_ji314.html"
"Group posing in front of a castle","A man and two women pose by the water with a castle in the background.","Castles;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Castles;","","","MG 76, Box 2, Slide 002","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/315","315","","","","http://localhost:4000/digital/iddings/items/spec_ji315.html"
"Eiffel Tower","A photograph of the Eiffel Tower in Paris, France.","Eiffel Tower (Paris; France);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Eiffel Tower (Paris, France);","","","MG 76, Box 2, Slide 003","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/316","316","","","","http://localhost:4000/digital/iddings/items/spec_ji316.html"
"Five unidentified men [02]","A portrait of five unidentified men, standing in orde from tallest to shortest","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 004","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/317","317","","","","http://localhost:4000/digital/iddings/items/spec_ji317.html"
"Bathing huts","Bathing huts are moved to and from the waters edge via carts on a beach. People can be seen along the left side of the image, looking at the water.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 005","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/318","318","","","","http://localhost:4000/digital/iddings/items/spec_ji318.html"
"Pont du Gard, France","Pont du Gard, France.","Pont du Gard (France); Aqueducts -- France;Roman aqueduct; aqueducts","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Pont du Gard (France); Aqueducts -- France;","","","MG 76, Box 2, Slide 006","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/319","319","","","","http://localhost:4000/digital/iddings/items/spec_ji319.html"
"Maud Iddings in a gondola","Maud Iddings sitting in a gondola with gondolier standing up behind her in Venice, Italy.","Venice (Italy); Gondolas;gondolas; transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Venice (Italy); Gondolas;","","","MG 76, Box 2, Slide 007","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/320","320","","","","http://localhost:4000/digital/iddings/items/spec_ji320.html"
"Dam","A dam or aqueduct structure in an unknown location.","Dams;aqueducts","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Dams;","","","MG 76, Box 2, Slide 008","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/321","321","","","","http://localhost:4000/digital/iddings/items/spec_ji321.html"
"Small private island","Small private island with building and vegetation.","Islands -- India;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Islands -- India;","","","MG 76, Box 2, Slide 013","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/322","322","","","","http://localhost:4000/digital/iddings/items/spec_ji322.html"
"Cruise ship","A large ocean liner at sea.","Cruise ships;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Cruise ships;","","","MG 76, Box 2, Slide 014","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/323","323","","","","http://localhost:4000/digital/iddings/items/spec_ji323.html"
"Boats at harbor","Boats tethered and moored in harbor.","India -- Pictorial works;boats; transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","India -- Pictorial works;","","","MG 76, Box 2, Slide 015","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/324","324","","","","http://localhost:4000/digital/iddings/items/spec_ji324.html"
"Huddart Parker pier","Huddart Parker Ltr pier in an unknown location.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 016","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/325","325","","","","http://localhost:4000/digital/iddings/items/spec_ji325.html"
"Mont-Saint-Michel","Mont-Saint-Michel in Normandy, France.","Le Mont-Saint-Michel (France); Normandy (France);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Le Mont-Saint-Michel (France); Normandy (France);","","","MG 76, Box 2, Slide 009","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/326","326","","","","http://localhost:4000/digital/iddings/items/spec_ji326.html"
"Ganges River, India","Ganges River in India. People and boats can be seen in the busy thoroughfare.","Ganges River (India and Bangladesh); Rivers -- India;boats; transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Ganges River (India and Bangladesh); Rivers -- India;","","","MG 76, Box 2, Slide 017","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/327","327","","","","http://localhost:4000/digital/iddings/items/spec_ji327.html"
"Men working in a body of water","Men working in a body of water, either for construction purposes or harvesting materials.","India -- Pictorial works;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","India -- Pictorial works;","","","MG 76, Box 2, Slide 018","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/328","328","","","","http://localhost:4000/digital/iddings/items/spec_ji328.html"
"Woman washing laundry in a public basin","A woman washing laundry in public basins with a fountain in the foreground.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 019","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/329","329","","","","http://localhost:4000/digital/iddings/items/spec_ji329.html"
"Men and cattle in front of a building","Northwest Livestock Association. Men and cattle in front of a building before entering to show cattle.","Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Livestock;","","","MG 76, Box 2, Slide 020","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/330","330","","","","http://localhost:4000/digital/iddings/items/spec_ji330.html"
"Water-wheel","A water-wheel in a ground level channel.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 021","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/331","331","","","","http://localhost:4000/digital/iddings/items/spec_ji331.html"
